like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-32632.645,2.1744368,506.49014,0.47116584,0.18847997,0.17066154,0.7985227,6.2864156,38.262466,-1.1660007,4.1886787,0.06465412,0.102059096,1.4080756,5.7566257,0.0
-32783.367,3.399263,867.465,0.3560978,0.35842648,0.09410325,0.30217794,7.425555,63.66139,-1.8403616,6.55912,0.038682718,0.022915179,1.7531536,0.91748226,1.0
-33034.133,3.9932003,389.5267,0.5919359,0.06456432,0.14704312,0.58784413,2.5173166,26.753971,0.14636773,5.4524417,0.075755656,0.12519787,2.487788,4.0944877,2.0
-33093.12,2.797667,624.16943,0.26080537,0.24674065,0.04835841,0.6917331,3.660178,76.130844,1.2913272,2.8125286,0.05162715,0.17461964,0.7045988,2.4260263,3.0
-32637.314,5.3109508,168.60245,0.70055324,0.43025404,0.024145072,0.40143025,8.776779,51.455776,1.8628725,8.793976,0.012204627,0.05109515,0.3332379,4.9484377,4.0
-32318.104,1.5980867,740.73474,0.7962237,0.12172265,0.067142345,0.8990916,4.902492,13.104082,-0.502379,1.7205142,0.02610484,0.07743514,1.0286828,3.277866,5.0
-32628.338,4.6975884,277.67474,0.16617854,0.30690584,0.12000986,0.49645397,1.1880776,89.14091,0.7322422,7.699058,0.08780232,0.14943077,2.1158206,1.6874679,6.0
-32183.057,3.2546082,282.26062,0.32205063,0.2916002,0.13776687,0.7500197,5.989589,67.26011,0.34761614,5.5758343,0.06747188,0.1385708,0.857033,5.9614367,0.0
-33061.637,3.399263,871.7188,0.3560978,0.35842648,0.09410325,0.49399373,9.692965,52.22321,-1.8403616,6.55912,0.038682718,0.01649138,1.7531536,2.3601644,1.0
-33086.465,3.9932003,433.899,0.5919359,0.06456432,0.069318384,0.58784413,3.6814919,26.753971,1.3817843,5.4524417,0.075755656,0.12224531,1.4038261,4.0944877,2.0
-33524.527,4.0912023,428.2643,0.14845788,0.3363781,0.07272233,0.5122068,2.0836048,90.470955,1.8046683,5.378994,0.08018829,0.19278263,1.1920747,1.7473167,3.0
-32390.973,5.5762057,136.55144,0.6353324,0.44744423,0.053454302,0.25303203,7.881969,56.89428,1.3080624,8.600256,0.026042106,0.024827968,1.2403926,3.5493634,4.0
-32298.82,1.5980867,758.28796,0.61575246,0.12172265,0.092328094,0.93025154,4.902492,13.104082,-2.4843764,1.7205142,0.033624984,0.07625962,1.0286828,3.277866,5.0
-32610.277,4.6975884,277.67474,0.16617854,0.37860993,0.12000986,0.49645397,1.1880776,89.14091,0.7322422,7.699058,0.08780232,0.14943077,2.1158206,1.7269924,6.0
-32684.021,3.2546082,287.20602,0.18230721,0.2916002,0.19790384,0.7500197,5.989589,67.26011,-0.036862426,7.742038,0.06747188,0.14653935,2.1152565,5.095773,0.0
-33040.434,2.6694157,867.465,0.26324654,0.35842648,0.12332374,0.30217794,7.425555,63.66139,-0.9636019,4.930835,0.038682718,0.022915179,1.7531536,2.5376482,1.0
-33011.082,2.488169,801.93524,0.61944443,0.062937625,0.12730318,0.68921655,2.7426813,11.277122,-1.2994913,2.9069784,0.06083118,0.11432874,2.3152647,2.861554,2.0
