q_sim,q_obs
3.14881051698532e-05,1.18
4.3903125269547756e-05,1.18
5.068985879302338e-05,1.18
5.4609865001491386e-05,1.18
5.6792992339619556e-05,1.18
5.785876545549393e-05,1.34
0.00215696619290477,3.61
0.004429201261787189,7.34
0.008280270476775878,4.44
0.009979785805488053,3.16
0.01249413952064332,2.49
0.021416194532672978,2.55
0.052411647089289845,11.19
0.07056900737720312,9.53
0.08321983301365886,4.37
0.08968596358473094,3.23
0.0931503283622716,2.76
0.09643872191461098,2.48
0.1010664293851408,2.57
0.10227844223411926,2.29
0.10204918813059435,2.11
0.10091911864794188,1.98
0.09919480978145506,1.86
0.09704781560223733,1.8
0.09464078335668118,1.87
0.09204355096129604,2.18
0.08925450883033345,1.93
0.08612103472570262,1.73
0.08298537599917696,1.62
0.0798920196259478,1.55
0.07689429568632145,1.59
0.07399322785128812,1.39
0.07116999449898548,1.46
0.06840646930618943,1.42
0.09808354931991287,1.38
0.12058098083480892,1.66
0.1306411878026929,1.53
0.13523322966782916,1.42
0.14313591554945654,1.36
0.14542726300466977,1.31
0.15011566752548972,1.25
0.17126683071918128,1.42
0.1805058275809353,1.39
0.19155738298603625,1.8
0.19479865374302907,1.57
0.20176991439169,1.43
0.2026014179389578,1.35
0.20164044569547654,1.27
0.20420759864785198,1.2
0.20266784417902656,1.16
0.19986492544056098,1.11
0.19562598431018297,1.1
0.1906912486627956,1.07
0.1852851905263594,1.01
0.18185421851462297,0.99
0.17827285750161348,0.98
0.18011268757444004,0.98
0.18743753994671375,1.08
0.18728797716195816,0.96
0.18471406594202272,0.91
0.18083241766809152,0.9
0.17626476751411624,0.87
0.17129029395445794,0.86
0.1660339955695934,0.86
0.16067756355269713,0.84
0.15529567855642362,0.79
0.1499513389803644,0.8
0.14936110509546413,0.8
0.14623211253475224,0.79
0.14340473515801413,0.78
0.13953029875136153,0.76
0.13531071013406698,0.75
0.1323926445552747,0.74
0.12850522667098216,0.73
0.12940424050671048,0.72
0.13037318284051091,0.74
0.1302548506632765,0.69
0.13796609659589737,0.77
0.1389189121764253,0.69
0.13769333804015355,0.66
0.13534153734029397,0.64
0.13232818457209258,0.64
0.12885809175819452,0.63
0.12515186247964255,0.64
0.121595037461422,0.64
0.11784498169970445,0.63
0.1147347686203194,0.61
0.11116077904925445,0.6
0.10790175775670119,0.59
0.11533817831416934,0.69
0.11790688231296781,0.66
0.11740697778653444,0.59
