like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-30236.584,1.6872146,276.41647,0.4599435,0.12800755,0.17362517,0.496191,3.5146017,37.524174,-1.3584331,2.8680556,0.07299335,0.06905899,0.7658241,3.3379657,0.0
-28709.496,4.0969405,511.344,0.6749442,0.32061872,0.052248098,0.6015324,2.3311248,62.638397,-1.9379244,8.75715,0.012334244,0.11699395,2.1892016,0.8717488,1.0
-30208.262,2.8931956,391.05618,0.15178533,0.069794804,0.10173852,0.39001903,8.534109,25.712122,-0.030731365,1.6993512,0.035213623,0.046491202,2.5619538,2.4952734,2.0
-28592.092,4.738998,739.8192,0.5544247,0.24936482,0.07555059,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-29817.918,3.5024455,624.80664,0.35355005,0.44257668,0.14824201,0.7078014,5.890383,86.23605,1.7903064,5.199464,0.048454043,0.023141973,1.4818906,5.6034026,4.0
-31423.316,5.3559847,173.81499,0.2583992,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.36105412,1.7340341,5.0
-31059.576,2.3111098,870.0683,0.77302754,0.19705312,0.12342766,0.8915715,4.7290382,13.644538,-0.7213287,7.5181155,0.060483426,0.09402729,1.8296936,4.0682793,6.0
-29766.21,4.8987994,280.47757,0.66287845,0.3806751,0.042436004,0.20694534,5.1387753,99.4545,-2.2938259,7.60804,0.051139362,0.08627212,1.4565947,1.5672865,0.0
-29648.225,4.0969405,335.82568,0.6749442,0.32061872,0.052248098,0.38337734,2.3311248,62.638397,-1.9379244,6.118822,0.0032321364,0.13534993,2.1892016,0.8717488,1.0
-29762.225,2.8931956,532.29333,0.15178533,0.026100287,0.12494145,0.39001903,8.534109,11.074418,-0.63075936,2.5672987,0.034030642,0.039932005,2.7072532,2.4952734,2.0
-29652.176,4.1925945,837.109,0.42043296,0.20615813,0.110316604,0.24838762,1.1459044,73.64712,1.5695798,5.677976,0.0033683043,0.10127018,1.9432068,5.27105,3.0
-30278.549,4.608031,561.0498,0.32746354,0.4674712,0.11603615,0.75760746,3.7758121,95.885284,2.353938,5.5205646,0.0422649,0.07967438,0.89250416,5.4219437,4.0
-31240.418,5.3559847,173.81499,0.4312406,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.63542503,1.7340341,5.0
-30954.549,2.3111098,848.36365,0.77302754,0.49385518,0.06616055,0.8915715,0.48777297,13.644538,-0.7213287,7.5181155,0.09251008,0.09402729,1.8296936,4.0682793,6.0
-30150.453,5.5571203,311.4607,0.8464245,0.3806751,0.042436004,0.3060598,5.1387753,99.4545,-2.2938259,8.018434,0.08825426,0.15353328,0.5260438,2.0726264,0.0
-31970.861,1.6163641,799.4423,0.6749442,0.08293113,0.052248098,0.9169208,2.8409579,62.638397,-1.9379244,8.75715,0.063275374,0.11699395,2.4519138,3.070628,1.0
-29995.604,2.8931956,532.29333,0.15178533,0.026100287,0.053929444,0.31207147,8.534109,4.978334,-2.0443776,5.010768,0.034030642,0.10034023,2.7072532,2.4952734,2.0
-28874.727,4.738998,739.8192,0.7470595,0.4126919,0.10371596,0.30122027,1.2168947,74.55557,1.7479837,8.813043,0.018841835,0.12031469,1.1669761,4.851055,3.0
-28889.488,3.722965,650.83997,0.572003,0.47101846,0.13077238,0.57887983,3.5383203,79.883484,0.53480387,8.103842,0.03193008,0.020694252,1.5756894,5.071148,4.0
-30825.373,4.5108223,355.92618,0.3057987,0.26352325,0.03674461,0.8585362,6.9147615,13.902625,1.6150689,1.9011686,0.08624518,0.18496531,0.63542503,2.7935774,5.0
-31726.244,2.0095003,747.1652,0.830943,0.47226295,0.05526773,0.97080046,1.0017356,8.44768,-1.9945668,8.538397,0.086579956,0.083535105,2.284735,2.3946993,6.0
-30826.963,3.802386,199.27121,0.15523478,0.053088374,0.036677264,0.49787322,8.933884,94.1771,0.7601299,7.60804,0.03786846,0.08627212,1.4565947,1.5672865,0.0
-30058.04,4.368566,511.344,0.6749442,0.40977195,0.052248098,0.6015324,0.9692514,73.62394,-1.9379244,8.75715,0.012334244,0.038361285,2.1892016,0.8717488,1.0
-32721.89,1.2508054,532.29333,0.32258692,0.026100287,0.12494145,0.89421123,8.534109,11.074418,-0.63075936,3.5475283,0.034030642,0.039932005,2.7072532,2.4952734,2.0
-30417.049,4.738998,739.8192,0.4730706,0.019378541,0.07555059,0.6010883,1.2168947,92.29745,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-30543.754,3.722965,944.753,0.572003,0.47101846,0.13077238,0.9321634,0.04980289,79.883484,0.53480387,8.103842,0.0821038,0.09427826,1.5756894,5.071148,4.0
-30528.754,5.906297,355.92618,0.3057987,0.26352325,0.03674461,0.76151896,6.9147615,59.999744,1.6150689,1.9011686,0.08481546,0.18496531,0.63542503,2.7935774,5.0
-31429.848,1.9298338,890.4916,0.7890385,0.37916982,0.06616055,0.8915715,0.48777297,30.505148,-0.31580842,7.5181155,0.06068758,0.0826918,1.8296936,4.0682793,6.0
-32051.273,5.8444963,97.81529,0.68636936,0.3806751,0.02876265,0.32591328,5.1387753,69.842674,-2.1746397,7.60804,0.04459472,0.08627212,1.021301,0.8086749,0.0
-29375.059,4.372801,361.57336,0.405194,0.10925573,0.07619466,0.3808248,6.109218,61.44015,-1.8979458,6.52329,0.01420794,0.09045297,2.5974557,0.22840592,1.0
-29920.1,3.4890609,532.29333,0.20305125,0.05024958,0.13136482,0.5052521,8.534109,11.074418,-1.3671608,4.221153,0.00744254,0.039932005,2.766525,2.4952734,2.0
-30075.143,2.0433073,739.8192,0.5544247,0.24936482,0.17220362,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.00905256,2.8682616,4.851055,3.0
-29128.156,3.722965,650.83997,0.572003,0.17288496,0.1613178,0.57887983,2.3850489,79.883484,0.53480387,9.917063,0.03193008,0.020694252,1.5756894,3.9881418,4.0
-30443.957,4.8596206,355.92618,0.3057987,0.1461591,0.03674461,0.76151896,6.9147615,59.999744,1.6150689,1.9011686,0.042596977,0.18496531,0.63542503,2.7935774,5.0
-28891.164,2.8235574,810.3795,0.77302754,0.49385518,0.040887382,0.76873636,2.5948339,52.81904,-2.3907166,7.5181155,0.09251008,0.09402729,1.9464773,2.9249723,6.0
-30712.87,5.8997135,251.61086,0.75758505,0.3951341,0.030097585,0.28007823,2.6555574,75.72494,-1.6033815,9.317256,0.021080403,0.12680326,1.0303836,1.6724286,0.0
-29422.533,4.0969405,511.344,0.61735994,0.30775204,0.064037144,0.7034646,2.3311248,62.638397,0.95203376,8.75715,0.014934438,0.15966691,2.1892016,2.7914994,1.0
-29465.479,2.6086924,476.73328,0.26163813,0.18365979,0.14471564,0.3037737,8.705835,26.158089,-2.0720067,4.798384,0.03858104,0.03039353,2.681361,2.1525712,2.0
-28993.895,5.656448,625.6873,0.723211,0.26391768,0.014892008,0.2766833,0.39897594,91.88191,0.317429,7.301642,0.022600796,0.187917,0.99188864,3.2116153,3.0
-28856.588,3.5516691,911.4095,0.7815645,0.43003663,0.115751356,0.6761345,0.54136163,81.015686,0.4365326,9.664157,0.03125368,0.034982007,1.7045224,5.582225,4.0
-30656.844,5.0977306,229.80093,0.45157868,0.23237662,0.014627336,0.8345638,6.801142,68.73316,0.12259679,2.7684407,0.058463067,0.19073291,0.6455224,0.84229654,5.0
-28117.867,3.7103984,810.3795,0.8401899,0.43526456,0.005517784,0.56312716,2.5948339,52.81904,-1.6047603,7.5181155,0.09251008,0.12703533,1.9464773,1.9219564,6.0
-31107.021,4.8987994,280.47757,0.8934068,0.49996158,0.05276862,0.20694534,1.758413,99.4545,-0.42054656,7.60804,0.051139362,0.042446893,1.4565947,1.5672865,0.0
-28506.617,4.0969405,791.62134,0.6749442,0.49792916,0.034876473,0.4776673,2.3311248,57.969475,-1.9379244,7.8360143,0.04168068,0.08398586,2.1892016,0.8717488,1.0
-29266.3,1.1645936,767.5521,0.2992058,0.18365979,0.14471564,0.3037737,8.705835,13.508823,-2.0720067,4.798384,0.03858104,0.03039353,2.681361,2.1525712,2.0
-28577.883,1.7250749,739.8192,0.06793809,0.24936482,0.18467236,0.30122027,4.651313,0.36836064,1.1734861,3.7747636,0.03635925,0.05115789,1.1669761,4.851055,3.0
-29611.164,2.3022265,899.8571,0.61001617,0.27598026,0.16508263,0.6048694,3.2436578,62.063637,0.3713881,8.234554,0.029991264,0.009194599,1.9404768,6.1129856,4.0
-30970.902,4.182739,684.2722,0.3057987,0.17998506,0.014191004,0.9544313,6.9147615,59.999744,2.0503986,1.8449132,0.042596977,0.18496531,0.9432399,2.7935774,5.0
-28739.748,3.7103984,477.33322,0.8401899,0.4475265,0.005517784,0.56312716,2.5948339,52.81904,-1.6047603,8.956712,0.09251008,0.12703533,0.86664206,1.9219564,6.0
-30335.668,4.8987994,280.47757,0.66287845,0.3806751,0.10982207,0.20694534,5.1387753,99.4545,-2.2938259,8.768217,0.005427631,0.1785693,1.4565947,1.5672865,0.0
-28226.9,4.964271,698.6147,0.7276259,0.46361363,0.022977773,0.6652246,2.3946688,84.515495,-1.1133875,7.9304757,0.02399146,0.0972444,1.9297942,1.3992243,1.0
-29776.822,2.418706,962.8139,0.2975186,0.21858989,0.19558239,0.27733022,7.0052385,12.773793,-1.5593073,5.6842694,0.050451603,0.009311102,2.8885455,3.7226186,2.0
-28488.693,1.7250749,979.198,0.06781798,0.28242543,0.1534583,0.33282465,3.7497911,10.546866,1.0311307,5.4437504,0.010029238,0.020182686,1.1669761,4.851055,3.0
-28766.604,3.5516691,911.4095,0.7815645,0.46104333,0.19660822,0.35373443,0.54136163,46.795113,-2.470525,9.664157,0.03125368,0.034982007,1.7045224,5.582225,4.0
-30299.414,3.4116082,997.6538,0.43030068,0.22180831,0.19621044,0.9073936,1.9308513,8.123037,1.4401047,4.095603,0.021401614,0.13402054,0.9011898,6.148169,5.0
-30111.256,4.411115,477.08112,0.77505106,0.39600313,0.077876806,0.49563754,5.158508,52.81904,-1.5174843,7.5181155,0.09657997,0.15478618,1.9464773,0.0068272566,6.0
-28753.074,2.9382048,447.06158,0.25911146,0.24216339,0.18283334,0.4087588,6.2651854,58.205383,0.17470321,5.715432,0.027242964,0.015558057,0.74681234,4.7686086,0.0
-28296.64,4.964271,946.59924,0.68938684,0.46361363,0.09056414,0.7621009,0.7986451,84.515495,-1.1133875,8.255501,0.008586076,0.1020647,1.483039,3.8556638,1.0
-28161.709,1.8532767,669.71014,0.7098809,0.3111985,0.14471564,0.20490402,7.809549,41.795834,-2.0720067,7.6698465,0.03858104,0.03341969,2.5236177,1.0149211,2.0
-29306.271,1.1634576,956.20074,0.06781798,0.28242543,0.1534583,0.33282465,6.4925857,11.168834,2.4274652,3.2461953,0.010029238,0.020182686,1.0644354,4.6961465,3.0
-28199.266,3.5516691,810.87616,0.7815645,0.4287032,0.097594835,0.35373443,0.8790931,69.3559,-0.9259146,8.562438,0.06588881,0.031158343,1.7045224,3.498737,4.0
-30582.096,3.4116082,927.6571,0.5097649,0.22180831,0.111181125,0.9073936,1.0364968,14.111745,1.7281275,4.0032697,0.021401614,0.18824156,0.5878269,6.148169,5.0
-27776.062,3.330768,810.3795,0.67690915,0.40270117,0.039383575,0.56312716,1.2979879,52.81904,-0.087642506,7.5181155,0.09513297,0.12703533,1.9464773,1.9219564,6.0
-28681.805,2.9382048,447.06158,0.25911146,0.24216339,0.18283334,0.4087588,6.9376593,58.205383,-1.044345,5.715432,0.027242964,0.015558057,0.74681234,4.7686086,0.0
-28217.236,5.095125,698.6147,0.77417004,0.41911745,0.057033557,0.6652246,2.3946688,92.8853,-1.1133875,9.287859,0.052603707,0.0972444,2.141441,1.3992243,1.0
-28035.064,2.3850818,924.9747,0.61418515,0.36734053,0.13238505,0.23067671,7.809549,41.795834,-0.922822,9.2216625,0.03858104,0.03341969,2.5236177,0.5666726,2.0
-29015.85,1.7250749,979.198,0.47152698,0.4313816,0.021430423,0.33282465,3.7497911,10.546866,1.0311307,5.4437504,0.010029238,0.020182686,1.1669761,4.851055,3.0
-28255.467,3.1406088,845.30426,0.44479513,0.37976775,0.111280315,0.41968265,0.8790931,69.3559,0.34056813,8.562438,0.04910717,0.031158343,1.7045224,3.498737,4.0
-30550.596,3.4116082,775.3224,0.070914276,0.22180831,0.19621044,0.9073936,6.287394,8.123037,1.4401047,3.05375,0.021401614,0.03804297,0.9011898,6.148169,5.0
-30042.89,4.385094,644.6263,0.67690915,0.34393874,0.039383575,0.9112574,0.9700473,63.933613,-0.054223496,7.5181155,0.09135784,0.17708157,1.9464773,3.0056856,6.0
-29013.242,2.9010937,360.7332,0.3608522,0.3209568,0.10576911,0.26088464,6.6423664,78.75226,-1.7995347,7.2304325,0.06038279,0.012148617,1.2332141,2.7063704,0.0
-29778.229,4.9929557,845.3744,0.6424404,0.3821187,0.050685197,0.8676124,0.16219515,67.68914,0.15953806,7.697357,0.05119534,0.14565195,1.9118432,2.5374439,1.0
-28685.904,1.6115217,955.727,0.6301937,0.4282112,0.09785898,0.36911675,6.511661,35.195145,-0.72268385,9.793697,0.05663258,0.014600435,2.7735412,0.053183403,2.0
-28183.701,1.7250749,864.9442,0.06781798,0.391083,0.07920742,0.33282465,1.1446043,29.723564,0.9932762,7.434106,0.010029238,0.020182686,1.9923863,2.837234,3.0
-28868.71,4.5827036,796.2083,0.7508321,0.37767866,0.097594835,0.6416186,0.8790931,69.3559,-0.40065837,7.3446455,0.04190538,0.059524797,1.7045224,5.3160033,4.0
-30579.535,3.4116082,716.0997,0.73991543,0.040802393,0.19621044,0.9576015,0.26205626,60.740833,0.8741852,4.095603,0.0039583817,0.13402054,0.918266,2.8209543,5.0
-28143.389,3.330768,810.3795,0.5080317,0.3458182,0.11792277,0.56312716,6.9012055,6.2603817,0.09368357,7.5181155,0.09513297,0.12703533,2.341402,1.1288035,6.0
-29769.045,3.6792564,300.41092,0.40581605,0.33803096,0.114904165,0.3063435,7.1534934,96.63722,-2.2598424,8.144686,0.04175345,0.0006376926,1.2785342,2.519034,0.0
-29434.033,5.299442,600.12604,0.58327,0.32818472,0.11737545,0.8274717,2.3216014,83.09561,-0.6885974,7.1275563,0.0278883,0.093770035,1.2332643,3.8568316,1.0
-28140.299,1.363991,792.6122,0.61418515,0.36734053,0.13238505,0.21473987,7.809549,41.795834,0.35275927,8.383717,0.03858104,0.013548877,2.4302018,0.5666726,2.0
-28848.33,1.7635875,947.36176,0.14330095,0.3172762,0.1451591,0.47794333,1.4205278,8.002826,1.7123551,5.7485294,0.022853456,0.023508992,1.5023363,4.633953,3.0
-28454.668,3.3444908,905.3831,0.82420206,0.46691382,0.033146773,0.22628565,0.9513072,78.25227,-1.3560054,9.289242,0.09521788,0.034479726,2.67875,1.0039244,4.0
