like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-28901.818,1.6872146,276.41647,0.4599435,0.12800755,0.17362517,0.496191,3.5146017,37.524174,-1.3584331,2.8680556,0.07299335,0.06905899,0.7658241,3.3379657,0.0
-27194.072,4.0969405,511.344,0.6749442,0.32061872,0.052248098,0.6015324,2.3311248,62.638397,-1.9379244,8.75715,0.012334244,0.11699395,2.1892016,0.8717488,1.0
-29342.889,2.8931956,391.05618,0.15178533,0.069794804,0.10173852,0.39001903,8.534109,25.712122,-0.030731365,1.6993512,0.035213623,0.046491202,2.5619538,2.4952734,2.0
-27602.334,4.738998,739.8192,0.5544247,0.24936482,0.07555059,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-28991.695,3.5024455,624.80664,0.35355005,0.44257668,0.14824201,0.7078014,5.890383,86.23605,1.7903064,5.199464,0.048454043,0.023141973,1.4818906,5.6034026,4.0
-30444.096,5.3559847,173.81499,0.2583992,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.36105412,1.7340341,5.0
-30042.635,2.3111098,870.0683,0.77302754,0.19705312,0.12342766,0.8915715,4.7290382,13.644538,-0.7213287,7.5181155,0.060483426,0.09402729,1.8296936,4.0682793,6.0
-28131.27,4.0969405,335.82568,0.6749442,0.32061872,0.052248098,0.38337734,2.3311248,62.638397,-1.9379244,6.118822,0.0032321364,0.13534993,2.1892016,0.8717488,1.0
-28975.785,2.8931956,533.88165,0.15178533,0.12435329,0.0721849,0.39001903,8.534109,12.374455,-0.9954761,4.3095675,0.026115067,0.046331175,2.4444833,2.4952734,2.0
-28611.164,5.0389667,838.7064,0.47333488,0.29456702,0.0623383,0.22891408,1.6018035,90.026054,1.2604237,7.2735553,0.0114359185,0.10691876,2.0648558,4.8065047,3.0
-29394.365,5.476411,561.6612,0.38044754,0.42769513,0.09755632,0.68987423,4.221075,78.781586,2.4879193,6.2508574,0.0383712,0.08257554,1.1393994,4.9452534,4.0
-30544.494,5.3559847,173.81499,0.26521438,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.06832793,1.7340341,5.0
-29888.578,2.3111098,843.11017,0.77302754,0.123332635,0.15389234,0.8915715,1.0399333,13.644538,-0.7213287,7.5181155,0.075003766,0.09402729,1.8296936,4.0682793,6.0
-28782.105,2.3455353,305.13373,0.5886427,0.12800755,0.17362517,0.59530544,3.5146017,37.524174,-1.3584331,2.7057645,0.092758715,0.13443224,0.16866854,3.8433056,0.0
-28944.049,3.1666105,816.1207,0.6749442,0.26365775,0.052248098,0.69613695,3.8725176,62.638397,-1.9379244,8.75715,0.09805869,0.11699395,1.6889589,5.389124,1.0
-30380.756,2.8931956,533.88165,0.15178533,0.12435329,0.0011728858,0.31207147,8.534109,3.6782975,-1.6796608,6.753037,0.026115067,0.1067394,2.4444833,2.4952734,2.0
-27487.191,4.738998,739.8192,0.83272415,0.33713958,0.10730525,0.30122027,1.2168947,74.55557,1.5271449,9.890842,0.0016427594,0.10139785,1.1669761,4.851055,3.0
-28100.729,2.9687529,657.8463,0.6005413,0.4251792,0.18765849,0.71060866,3.0727265,98.83457,0.92604715,6.144498,0.04634684,0.03306169,1.3433461,5.7478204,4.0
-29774.844,5.518017,346.43457,0.22735292,0.29734674,0.0058409227,0.69893026,7.690461,25.214088,1.2181448,4.9904757,0.08624518,0.16069397,0.36105412,1.9923018,5.0
-30104.307,4.559703,185.08163,0.26038146,0.20637037,0.036133513,0.39532474,7.94673,24.294346,1.2494957,2.7057645,0.059317186,0.13443224,0.16866854,3.8433056,0.0
-27410.238,1.8758906,511.344,0.6749442,0.19174618,0.052248098,0.6015324,0.87120694,71.809616,-1.9379244,8.75715,0.012334244,0.09606796,2.1892016,0.8717488,1.0
-31557.102,1.2508054,533.88165,0.10514736,0.12435329,0.0721849,0.89421123,8.534109,12.374455,-0.9954761,2.3910124,0.026115067,0.046331175,2.4444833,2.4952734,2.0
-27791.254,4.738998,739.8192,0.73909473,0.2118716,0.10730525,0.4161358,1.2168947,61.870842,1.5271449,9.890842,0.0016427594,0.10139785,1.1669761,4.851055,3.0
-28459.25,2.9687529,932.3279,0.6005413,0.4251792,0.18765849,0.8368934,0.9787614,98.83457,0.92604715,6.144498,0.061311197,0.057163168,1.3433461,5.7478204,4.0
-29822.14,5.858463,346.43457,0.22735292,0.29734674,0.0058409227,0.7571287,7.690461,18.05572,1.2181448,4.9904757,0.09454181,0.16069397,0.36105412,1.9923018,5.0
-29480.475,2.6618056,899.1894,0.6298193,0.3059822,0.15389234,0.8915715,1.0399333,71.930435,-0.10132758,7.5181155,0.029291596,0.06122628,1.8296936,4.0682793,6.0
-31789.047,3.0940828,105.82367,0.55301553,0.12800755,0.14807138,0.7371763,3.5146017,45.79904,-1.4268018,2.7057645,0.081163995,0.13443224,0.34809372,3.0493994,0.0
-28197.521,2.433741,533.88165,0.3606437,0.065158494,0.1238031,0.31017464,8.534109,12.374455,-1.3421341,4.341949,0.017534543,0.046331175,2.1245992,2.4952734,2.0
-27745.08,4.018503,739.8192,0.83272415,0.33713958,0.16356562,0.30122027,1.2168947,74.55557,1.5271449,9.890842,0.0016427594,0.04343141,1.4652549,4.851055,3.0
-27550.832,2.9687529,657.8463,0.6005413,0.38550282,0.18398167,0.71060866,2.742923,98.83457,0.92604715,8.04398,0.04634684,0.03306169,1.3433461,3.057762,4.0
-29936.875,4.5325804,346.43457,0.22735292,0.4107085,0.0058409227,0.69893026,7.690461,25.214088,1.2181448,4.9904757,0.07103213,0.16069397,0.36105412,1.9923018,5.0
-30609.857,2.039569,874.03485,0.6298193,0.3059822,0.19021466,0.95879,2.9697926,98.86232,-1.249565,7.5181155,0.029291596,0.06122628,1.780453,4.159544,6.0
-29645.668,3.5457852,247.75089,0.74947727,0.21083537,0.13532107,0.49366724,1.5407088,55.43314,-1.042529,5.0366235,0.08170308,0.17025286,0.027805034,3.5511658,0.0
-27946.377,4.0969405,511.344,0.7051347,0.48272565,0.0022502192,0.56963927,2.3311248,62.638397,0.22761673,8.75715,0.010499277,0.13474168,2.1892016,0.7022663,1.0
-29026.514,1.0058175,492.22754,0.39850137,0.023373706,0.19486447,0.40539357,7.6997313,24.69837,-2.349223,3.113702,0.03250871,0.016151248,2.1192594,2.5149426,2.0
-27417.668,5.0971537,612.2606,0.8640424,0.3365087,0.07982777,0.3595147,0.62133574,71.14095,0.6120827,9.625433,0.015302304,0.15287831,0.8489992,4.5639267,3.0
-27814.195,3.3460295,887.90216,0.86984074,0.48215964,0.17927577,0.7710749,1.6522185,67.56552,0.9394668,8.243252,0.009166047,0.030216701,1.882168,3.3386698,4.0
-29908.203,5.1568785,325.24707,0.24672146,0.28888553,0.0039206375,0.8736283,6.2644186,22.514515,0.3475204,4.1467876,0.0990519,0.1825097,0.32780308,1.6319747,5.0
-28950.375,2.8640501,899.1894,0.8487506,0.31977612,0.15113701,0.8383992,1.0399333,71.930435,-1.254147,7.5181155,0.029291596,0.11809546,1.8296936,4.605259,6.0
-28670.195,2.3455353,305.13373,0.88172275,0.14395046,0.19343682,0.59530544,0.43798774,37.524174,-1.6112796,2.7057645,0.092758715,0.106255166,0.16866854,3.8433056,0.0
-26381.195,4.0969405,852.2473,0.6749442,0.3346932,0.13307737,0.68860763,2.3311248,93.013535,-1.9379244,9.68776,0.021502785,0.09272278,2.1892016,0.8717488,1.0
-28052.283,2.2261727,680.3088,0.5348303,0.065158494,0.1238031,0.31017464,8.534109,6.503385,-1.3421341,4.341949,0.017534543,0.046331175,2.1245992,2.4952734,2.0
-30100.785,5.8803267,612.2606,0.38511595,0.3365087,0.01416462,0.3595147,9.618858,62.016026,0.6120827,6.4686646,0.06484567,0.07422975,0.8489992,4.5639267,3.0
-27917.111,2.1716373,575.32184,0.53656495,0.25337237,0.17980143,0.5555122,5.3724227,61.95826,1.2154115,5.5280747,0.04472815,0.010737393,1.312362,3.7305346,4.0
-29537.023,5.813347,714.53253,0.22735292,0.40624547,0.022199428,0.8305945,7.690461,25.214088,1.4437637,8.001169,0.08624518,0.16069397,1.404686,1.9923018,5.0
-28319.55,2.8640501,692.00336,0.8487506,0.41412398,0.15113701,0.8383992,1.0399333,71.930435,-1.254147,4.9657874,0.029291596,0.11809546,0.7473994,4.605259,6.0
-28674.947,2.3455353,305.13373,0.88172275,0.14395046,0.17767046,0.59530544,0.43798774,37.524174,-1.6112796,9.892325,0.007240321,0.07641287,0.16866854,3.8433056,0.0
-27022.799,4.3361955,874.64374,0.4148405,0.3477151,0.12526082,0.8009141,4.9858465,87.263916,-0.9377094,9.768127,0.049805902,0.068216026,2.5754473,0.49370167,1.0
-28266.29,1.8601635,701.73596,0.6689493,0.13580883,0.14033382,0.2517266,6.9880605,26.838665,-0.66056484,4.906242,0.013495431,0.032095093,1.9104701,3.8092744,2.0
-27170.668,5.0971537,755.7492,0.8231606,0.28518102,0.10214487,0.20503964,1.9526519,91.34043,0.3268727,8.343559,0.020055009,0.0884191,0.8489992,4.5639267,3.0
-27655.217,2.9687529,657.8463,0.6005413,0.103465766,0.1334286,0.34406838,2.742923,85.062195,-1.2704798,8.04398,0.04634684,0.03306169,1.3433461,3.057762,4.0
-30345.879,5.4967785,923.2146,0.17124264,0.36641207,0.012076109,0.9451805,9.810805,85.61325,1.0238317,6.2614865,0.036771756,0.087996595,2.663842,1.206116,5.0
