q_sim,q_obs
6.480276429033137e-07,0.91
1.1079058431062913e-06,0.57
1.4596218833145354e-06,0.46
1.7345426760765945e-06,0.41
1.9518990388692405e-06,0.41
2.1247612227000267e-06,0.42
2.2634337192302547e-06,0.46
2.374805333413365e-06,0.55
2.465225059083833e-06,0.41
2.5390286746498193e-06,0.4
2.600964801704202e-06,0.4
2.6513294416037887e-06,0.4
2.6971175633346096e-06,0.39
2.737419630426794e-06,0.38
2.7859658577284524e-06,0.39
2.8211101677392007e-06,0.42
2.8722087966958494e-06,0.41
2.9266564686222612e-06,0.4
3.0147007872699593e-06,0.4
3.1366756779521384e-06,0.43
3.3248981150992182e-06,0.41
3.5975616286935055e-06,0.4
4.4667913310539096e-06,0.43
7.349817433221315e-06,1.42
1.3633554335252812e-05,1.84
1.9842190619536883e-05,1.84
2.621534407755282e-05,1.31
3.351368053057665e-05,1.13
4.027350044241017e-05,1.13
4.6164480831132174e-05,0.96
5.142736831079885e-05,0.75
5.6072766958373724e-05,0.63
6.080304359405144e-05,0.57
6.786904159513142e-05,0.51
7.483080094928537e-05,0.69
8.057165327583361e-05,0.58
8.5130718661928e-05,0.49
9.318342280272534e-05,0.47
0.00010402526765769722,0.58
0.00011635341864993139,0.53
0.00012880796900786206,0.49
0.0001527524897426706,0.71
0.00018138584899612077,1.0
0.00022007532659430476,0.98
0.000279950413248072,1.52
0.00037840642467892275,1.86
0.0004723367138466037,2.45
0.0005541731643165012,1.95
0.0006412539906856629,1.6
0.0007219350784335124,1.39
0.0007921046252912112,1.31
0.000850986813312584,0.95
0.0008981236092815391,0.81
0.0009372517031628987,0.65
0.0009720919324877578,0.64
0.0010354282542374875,0.67
0.0011775348090350248,1.05
0.0013703889953362246,1.31
0.0016475398724858168,2.3
0.0019514286567294428,3.18
0.0022342986772152258,3.68
0.002498717999644785,3.26
0.00276990463753628,2.66
0.0030138472781515106,2.25
0.0032291346957902187,1.83
0.0034258812415446428,1.56
0.003601401663146597,1.37
0.0037676580718165784,1.26
0.004053924230656753,1.21
0.0043364229441448954,1.37
0.004589508244280736,1.53
0.004796320900788925,1.17
0.004976729067230167,0.99
0.005119849627622008,0.87
0.005234838150313174,0.74
0.005326310576749363,0.71
0.005399074077568714,0.74
0.00546109866033727,0.79
0.005539598841163392,0.66
0.0056164427708419885,0.56
0.0056940196948635415,0.49
0.00576472705682317,0.49
0.005845998235551562,0.45
0.005975028022014918,0.5
0.006109189412414897,0.6
0.006228060901361816,0.54
0.006341048965318412,0.47
0.006440699366104622,0.42
0.006527926435725986,0.4
0.006603495671858817,0.34
0.006667583444231795,0.32
0.006717947928438719,0.57
0.006796221311878012,0.45
0.006872048959016845,0.44
0.006933493932218983,0.42
0.006992170329056645,0.42
0.00705260652366053,0.41
0.0071096286638193925,0.39
0.007149614158054263,0.39
0.007192925298035207,0.4
0.007257892027791785,0.45
0.0073341765825985315,0.41
0.00742212717810955,0.4
0.007584479523834515,0.4
0.00784365913334642,0.52
0.008097253662349979,0.67
0.008335975978526847,0.68
0.0085280423015738,0.46
0.00870136290327363,0.42
0.008876583151838981,0.44
0.00902705954923598,0.43
0.009174091304301774,0.41
0.009348096927490652,0.41
0.009545147868143245,0.44
0.00975851673180934,0.46
0.009934187217847395,0.43
0.010127881042772634,0.46
0.010307149403122964,0.42
0.010471887740284295,0.39
0.01059898987031149,0.4
0.010695230848856162,0.39
0.010774954685160518,0.39
0.010836589009148963,0.39
0.010884997399894215,0.39
0.01092186401860493,0.38
0.010954202969640748,0.37
0.011004262768795472,0.41
0.011078077340047888,0.46
0.011144764107351615,0.38
0.011254872133773016,0.46
0.011346647591202677,0.4
0.01145316402899032,0.39
0.0115885519339441,0.43
0.011722958350437422,0.43
0.011827014270306684,0.37
0.011932810995951148,0.41
0.012022259665749994,0.39
0.01211075781317331,0.36
0.012186099473533482,0.36
0.012243960541632914,0.35
0.012295710454948823,0.35
0.012338378977577153,0.37
0.012372798357065925,0.37
0.012397642510843963,0.37
0.012425601437702424,0.35
0.012446892717166657,0.35
0.012462452010233143,0.35
0.012495562033408021,0.36
0.012516896137222795,0.37
0.012533749601348839,0.37
0.012547037753001526,0.37
0.012562861581412673,0.37
0.012620054562664546,0.46
0.012682921312396112,0.4
0.012757662395057677,0.46
0.012821714407820935,0.37
0.012886303114997456,0.35
0.013050557035750362,0.39
0.013206485088470504,0.52
0.013339214041495058,0.4
0.013483456543002788,0.38
0.013615095345510076,0.36
0.013734353410281945,0.35
0.01383698963709882,0.35
0.013926557111005898,0.33
0.014010322177067117,0.33
0.014094592344397139,0.33
0.014164582637784317,0.32
0.01423686463469673,0.33
0.014341984502087573,0.33
0.014560560098188194,0.41
0.014747507061387416,0.62
0.014928594043943259,0.42
0.015094586277825499,0.35
0.015240121142922301,0.34
0.015408067262004768,0.32
0.01554580628625569,0.33
0.01582501515127941,0.38
0.01606275849088401,0.62
0.01631160191463145,0.35
0.016613501852254024,0.38
0.016909348835789983,0.44
0.017177349297591286,0.37
0.017392304436722197,0.33
0.01758421537114058,0.32
0.01784689917680888,0.35
0.01809939591187206,0.43
0.018339283934676383,0.38
0.018566078449880064,0.33
0.018797001972979833,0.32
0.019043566246626065,0.35
0.019252402518138017,0.39
0.01941423701038026,0.33
0.019540421122034857,0.31
0.01963269382078444,0.32
0.019698203728785578,0.31
0.019754224652432123,0.31
0.01987330487709431,0.33
0.01999697408887572,0.33
0.020105411697060052,0.33
0.020182910715689267,0.33
0.02023814690272071,0.32
0.020276700606872353,0.33
0.02032960307044773,0.33
0.020385684532891177,0.35
0.020444573238812293,0.35
0.02048839570991093,0.34
0.020518462011453818,0.34
0.02054020114486026,0.34
0.02063178032508424,0.41
0.02069892565763219,0.4
0.020748683884152262,0.36
0.020780075863499677,0.36
0.020795915780923935,0.37
0.020799869190971994,0.37
0.020795638034759034,0.4
0.020801354436833244,0.4
0.020810559355093794,0.38
0.020813496793247115,0.43
0.02081160590213195,0.38
0.02081008811919712,0.37
0.020812236750088524,0.37
0.020809071287144904,0.37
0.020801458233309394,0.35
0.020793395665405077,0.37
0.02080670548149318,0.39
0.020819583059229683,0.42
0.020849213719800683,0.43
0.020871130109292826,0.39
0.020968652166338135,0.42
0.02107356846065859,0.5
0.02116985550355832,0.45
0.021285647519644197,0.48
0.021379024310906117,0.38
0.02145506598613783,0.35
0.021510187843808877,0.35
0.021553123921163646,0.35
0.02158490584678599,0.37
0.021608717051322716,0.36
0.02163695504525706,0.37
0.021658904362987494,0.4
0.02171930111178579,0.39
0.021962375018178597,0.49
0.022202390993245738,0.7
0.022419403644919546,0.46
0.022696577520668334,0.55
0.02291643626971696,0.45
0.023093779951769013,0.38
0.02326182606408227,0.37
0.023403010480620563,0.41
0.023525918138377025,0.36
0.02366481289719268,0.35
0.023944902069608545,0.4
0.02418487897804292,0.51
0.024391175677552057,0.39
0.02456585376847245,0.37
0.024711636508849995,0.36
0.02485182748353333,0.37
0.024965544279678425,0.36
0.02506654424478119,0.36
0.025200579462557035,0.4
0.025376512083405408,0.4
0.025613326228841077,0.43
0.025825887598983736,0.44
0.02605171005127105,0.4
0.026247640629284197,0.38
0.02646859568750279,0.42
0.026656806254200405,0.41
0.026810922341179134,0.38
0.026940532854318244,0.37
0.027048142848084343,0.37
0.027144464112247767,0.37
0.027275846912188546,0.4
0.027425034914238748,0.39
0.027560625625209424,0.37
0.027691717622159804,0.37
0.027912093861906823,0.47
0.028100037576256266,0.39
0.028266091946634486,0.37
0.028400028481730573,0.36
0.028517867884076373,0.35
0.02860498900008722,0.36
0.02868984255212214,0.35
0.028754530044323844,0.35
0.0287983062431592,0.35
0.028831807327900194,0.35
0.028859405720076593,0.34
0.028883197728635467,0.33
0.02893109336903891,0.35
0.029030391071001353,0.35
0.02911473084522277,0.35
0.02917559657822785,0.35
0.029238723582478966,0.34
0.02928703302423965,0.34
0.02931414449288957,0.32
0.02932648894547872,0.34
0.029332618586066228,0.35
