q_sim,q_obs
3.5342746197844594e-07,2.84
6.91763436306595e-07,2.17
9.842017440378505e-07,1.66
1.229358931720555e-06,1.3
1.4317788015460932e-06,0.97
1.5973589193657453e-06,0.92
1.7319230253481224e-06,0.94
1.8407320809829575e-06,0.75
1.9283450905886016e-06,0.75
1.998622160460817e-06,0.77
2.054784760457612e-06,0.66
2.099495425326243e-06,0.59
2.1349396311855163e-06,0.53
2.162902150458003e-06,0.52
2.1848348433807973e-06,0.53
2.1824212530520624e-06,0.51
2.1800103581413473e-06,0.63
2.1808106373040483e-06,1.26
2.2014290421649164e-06,1.63
2.251383869105041e-06,1.68
2.313859377558123e-06,1.58
2.3685868750461404e-06,1.33
2.4142883370255536e-06,1.12
2.451677071372178e-06,0.9
2.481856833920401e-06,0.9
2.5059513675603446e-06,0.79
2.524986193576458e-06,0.65
2.645237879248838e-06,0.73
3.1526939962529763e-06,1.0
3.6268165658267275e-06,1.29
4.033277003811028e-06,1.16
4.372313607850872e-06,0.94
5.7551816356286255e-06,0.76
8.392730026024866e-06,1.58
1.2286241705064528e-05,2.24
1.775832480635344e-05,2.31
2.507330654077872e-05,2.18
3.239846253568636e-05,2.05
3.8658891224351745e-05,1.8
4.3861512929732426e-05,1.39
4.813015254635218e-05,1.1
5.160459510276504e-05,1.0
5.441036474348738e-05,0.81
5.6648354017554004e-05,0.81
5.8443286582540104e-05,0.85
5.9876966595140876e-05,0.81
6.101723184520249e-05,0.65
6.185898456005946e-05,0.67
6.4774558510247e-05,0.72
7.029056514380158e-05,0.83
7.701158916107579e-05,0.86
8.460999049420402e-05,1.06
0.00010230379311497158,0.95
0.0001425126394996285,1.48
0.0001943141967226319,2.34
0.00025637003325591816,2.04
0.0003278773077223014,1.92
0.0003998526294012454,1.87
0.0005063800931539447,1.86
0.0006355802807215102,2.51
0.0007609996830845924,2.51
0.0008676880085004952,1.84
0.0009572645709838098,1.56
0.0010306138029349946,1.29
0.0010900889707324219,1.27
0.0011380521821031803,1.24
0.0011765212211555386,1.09
0.0012067032594518727,0.9
0.001229429284411828,0.9
0.001246615622533813,0.9
0.00128404977862439,0.8
0.0013585923900436584,0.78
0.0015136521439146585,0.94
0.0017455281444123212,1.04
0.0019778121524921294,1.16
0.0021765935570723875,1.39
0.002342125489341046,1.32
0.0024780938930614787,1.12
0.0026921049231041125,1.0
0.0029944959008409914,1.35
0.0032613784878551583,1.61
0.0034858450685114266,1.41
0.0036707436985428154,1.2
0.0038244863727734755,1.13
0.004070036128273728,0.92
0.0043104864687069176,1.14
0.004551035908428825,1.19
0.004902504928137334,1.22
0.005244807239169927,1.85
0.00554765209169202,1.55
0.005844216680227937,1.23
0.006097694281533528,1.07
0.00640937077993489,0.91
0.006796903289152437,0.96
0.007140132157337642,1.04
0.007427628301253051,0.77
0.007663583750045823,0.69
0.0078750163507725,0.64
0.008058396119334857,0.54
0.008201542182068273,0.57
0.008341840194603909,0.55
0.008459007022569999,0.52
0.008547542196084244,0.51
0.008617385581266037,0.5
0.008671853683314492,0.5
0.008712032497863554,0.49
0.008742458670870354,0.49
0.008759443922587713,0.49
0.008764357037099813,0.49
0.008775034577820248,0.48
0.008793022850959578,0.48
0.008807946222008551,0.47
0.008817828051538246,0.46
0.008823745923297172,0.46
0.008827074036029284,0.45
0.008868764388479196,0.47
0.008909393331771338,0.49
0.008942934202676906,0.45
0.008969318014026064,0.45
0.009001170369313121,0.44
0.009032454063299451,0.44
0.009118674285151947,0.43
0.009204941975314379,0.47
0.009284113699036752,0.43
0.009348754276933435,0.42
0.00950803928873554,0.44
0.009694574714954454,0.69
0.00986358181551234,0.58
0.010014907687118862,0.48
0.010140336777096364,0.43
0.010264546670249113,0.42
0.010399867286694654,0.49
0.010521145891236282,0.44
0.010627615358005158,0.42
0.0107269969427486,0.42
0.01081005898884636,0.4
0.01089220000691725,0.4
0.010968442381467965,0.53
0.011041329954182343,0.42
0.01110188814482383,0.41
0.011143749843079902,0.4
0.011174234554663877,0.39
0.011197413234439133,0.39
0.011217957076055302,0.38
0.011233004676180786,0.38
0.011296114855904728,0.38
0.01136039862009555,0.44
0.011426024571184898,0.38
0.011483153036921451,0.37
0.011617630837462997,0.41
0.011757590732294343,0.44
0.01187578537511286,0.38
