q_sim,q_obs
6.0389801410666975e-05,0.51
6.826118681878833e-05,0.52
6.812915513832772e-05,0.51
6.648056238071008e-05,0.51
7.125138311995503e-05,0.52
8.065868429507773e-05,0.51
0.000437125845029515,0.63
0.0006146113339815103,0.65
0.0012882625088247632,0.55
0.0014563998752790328,0.53
0.0033457254995335577,0.62
0.010052020104054885,0.62
0.014727857312280549,0.56
0.015172498262338567,0.57
0.014888406011575364,0.55
0.014880641973300449,0.61
0.027539789685707264,0.7
0.03504182919871013,0.72
0.03583314102779098,0.66
0.03904985552418429,0.66
0.038403409079625916,0.57
0.037184824962804244,0.56
0.045720548570871516,0.66
0.060854628528721755,0.99
0.07018785299179259,1.45
0.06980581434749679,0.72
0.06799792554226539,0.67
0.0656805925065451,0.61
0.0681281309638511,0.56
0.06790390750382805,0.55
0.06584176020446139,0.56
0.0635311161525599,0.52
0.061226837105363745,0.52
0.05898621581223732,0.51
0.05682200315240508,0.48
0.05473557965955239,0.48
0.05272528965335474,0.49
0.050788689234626525,0.49
0.058592272766007425,0.48
0.05815604933055747,0.48
0.056416640246276725,0.47
0.054448767239590815,0.45
0.052477870542400454,0.46
0.05210280583699963,0.44
0.05130376317127862,0.44
0.09161832507714493,1.0
0.14621176362012525,3.04
0.15375813393504,1.45
0.1741448424267625,1.18
0.17775675181483613,0.87
0.17378823284887596,0.76
0.16805264416957696,0.69
0.16204936957048724,0.65
0.15614475150011417,0.61
0.15042320103084827,0.59
0.14928045374218435,0.57
0.18144604861059754,0.6
0.18098765045456222,0.57
0.17581547316656082,0.61
0.1697487520563525,0.6
0.1636230378161544,0.57
0.15764451955227435,0.53
0.15186333988195672,0.52
0.14628799114931168,0.53
0.14091549114765323,0.53
0.13573974486557622,0.53
0.13075393226360627,1.35
0.1259512002610032,0.95
0.12132486181337232,0.69
0.11686844937770803,0.61
0.11257572492526598,0.6
0.1148550729344012,0.6
0.11430525517129533,0.63
0.1321436021950653,0.7
0.6258640579103912,3.69
1.2594850431833835,3.57
0.9124630762477841,1.91
0.5612365920988487,1.44
0.48656306895287865,1.33
0.4557578976834349,1.1
0.43558400513728146,1.08
0.46500125950373045,1.15
0.4899266403871648,1.3
0.7125834486921293,1.42
0.6307665272555834,1.68
0.6475527846544559,1.39
0.66251084408167,1.48
0.6449817476993618,1.45
0.6229483215711943,1.24
0.6005118972776538,1.07
0.5785798847982049,1.0
0.5745359299218451,1.01
0.6195522430097541,0.98
1.0593701539627602,1.41
3.2325102606505687,10.11
2.2033488985070777,5.4
1.4919254374241668,2.82
1.0762194624932424,2.27
0.9692731286904993,1.88
0.9169297691841306,1.7
0.8787129699029382,1.58
0.8451513820519709,1.57
0.813733688543063,1.52
0.7837332403354433,1.41
0.7549123713551734,1.41
0.7271733595573084,1.3
0.7004602660497989,1.93
0.6747305234389762,1.65
1.2794112786281513,2.49
0.8990167248186915,4.4
1.1228110607028756,3.55
0.9469551296785333,3.48
0.8928600122247545,2.21
0.8557153464219541,1.82
0.8231644699591553,1.79
0.7926214070751773,1.7
0.7634199040963193,1.62
0.7353529774938896,1.5
0.7083349473626295,1.39
0.6823146301478731,1.3
0.6572516616509414,1.28
0.6331097688612496,1.21
0.609854785138396,1.21
0.5874540275876342,1.17
0.5658760972729511,1.1
0.5450907529891009,2.34
0.9054486775173975,9.95
0.6987937759667793,3.08
1.0517693206906769,3.0
4.238223025405793,5.55
6.592000268998698,4.34
5.8504972250331075,3.14
5.483077340826218,2.65
2.6363628982366882,2.38
1.627627610306018,2.18
1.2690260333269763,1.91
1.157405833604334,1.82
1.0978224127362228,1.76
1.0527284155117715,1.58
1.012682425171229,1.53
0.9750786365034244,1.49
0.939140929083936,1.39
0.9046081919080666,1.37
0.8713695146933953,1.36
0.8393595265113796,1.31
0.8085277033937699,1.26
0.7788291300270633,1.25
0.7502216528243358,1.18
0.7397641490216439,1.15
0.7545282186483098,1.12
0.7927564803532001,1.14
0.9480969160809448,1.14
0.9041842328607299,1.15
0.8982982162921955,1.19
0.8898955009896459,1.15
0.8683726972181186,1.08
0.8853377648461964,1.07
0.8830478785723244,1.13
0.9106605538350947,1.13
0.9525261559162472,1.16
1.9513799893138457,4.43
2.143482235080399,3.6
2.6011291688478533,2.92
2.2596205069927158,3.25
1.7556986728247987,2.26
1.3961290066115253,1.92
1.324621596975916,1.74
1.3118091886745031,1.71
1.2694329153520967,1.55
1.226166281773702,1.49
1.1817713291705125,1.4
1.138523503625277,1.3
1.1013357895090075,1.31
1.5492270928046035,1.34
1.9385444392381732,1.87
2.155066407293744,2.75
2.4393867309928634,2.12
1.9029925398032344,1.91
1.5073252063093865,1.74
1.3942203682411767,1.66
1.355335744006394,1.52
1.3150579371258908,1.47
1.2681816320033865,1.42
1.2227394752706995,1.37
1.1780389556069528,1.28
1.141396400268205,1.21
1.1133692961059034,1.17
1.0753551143000242,1.1
1.0365072002428901,1.05
1.006388121395584,1.01
0.9721301065594237,0.99
0.9369646506587721,0.94
0.9026863679536472,0.94
0.8710833856709355,0.94
0.8455150121982192,0.89
0.8166492363684172,0.97
0.7870913498579658,0.95
0.7582917857508867,0.97
0.7304692671469801,0.94
0.7039389245550283,0.94
0.7068733603729265,0.94
0.6934878195823903,0.93
0.6704179440036266,0.89
0.6463930566060213,0.91
0.6255627308076013,0.9
0.6030807196211925,0.92
0.5811334289123536,0.9
0.6021016126896357,0.94
1.4811300315017586,1.58
1.3767236472468198,1.67
1.0302425703598432,1.19
1.1322695792880162,1.08
1.471241755429134,2.4
1.119469478028933,1.8
1.0441660865742814,1.41
1.0461377312018085,1.28
1.0326455746091459,1.23
1.0335079551884254,1.2
1.0022328476915638,1.11
0.9687472388020137,1.06
0.9338759249295998,1.01
0.899761291056566,1.01
0.9194951880228418,0.97
0.9291876196997855,1.07
0.9399488307971641,1.0
1.0212741141721575,0.92
0.9930811706281955,0.91
0.9899162561704009,0.94
0.9950987960379564,1.17
0.9659105020713388,0.8
0.9323148407445785,0.81
0.8985646294743468,0.78
0.865886194735513,0.77
0.8751475947912777,0.74
0.8502740653489689,0.72
0.8661941253240281,0.78
0.9188787548002476,0.82
0.9678069294578264,0.85
1.3099730906858613,1.5
1.1190507579515176,1.05
1.1285136404240599,0.99
1.0951269714119731,0.84
1.05753189533527,0.8
1.0282907122679197,0.81
0.992251692160983,0.87
1.0680511078286818,1.13
1.1254847309562204,2.63
1.0940859934938905,1.23
1.060491401905062,1.13
1.0345348108648995,1.06
1.076401474875664,1.07
1.383308553253255,1.11
1.1989448284641024,1.0
1.1374064866217646,0.9
1.1126105143143994,0.91
1.0741942841906824,0.88
1.0352888715015047,0.88
0.9974031894597254,0.85
0.9625993923126941,0.94
0.9781814707017925,0.84
0.9702085587491998,0.88
0.94529014636977,0.84
0.9419399338764677,0.82
0.9533816691226954,0.9
0.9627247382737588,0.83
0.9395153566151582,0.67
0.9103230738291185,0.64
0.8788591036836209,0.63
0.8698343985743577,0.68
0.8449750519041701,0.7
0.8225538716218095,0.63
0.8465524372711595,0.7
0.8285167406672764,0.57
0.8042243554965924,0.56
0.7775782560049402,0.54
1.162839398259129,0.74
0.9292358514275436,0.64
0.8694801022175298,0.56
0.834591418222245,0.55
0.8039074436420885,0.57
0.7743292249953436,0.57
0.7458544243871428,0.54
0.7199879413407553,0.53
0.7502778844659173,0.52
0.7393114520473486,0.52
0.7415859791087969,0.67
0.7246661060329042,0.6
0.7091755048558731,0.54
0.698927546398898,0.53
0.7249979957423416,0.61
0.7805227139497871,0.59
0.7792176321451043,0.53
0.7784978049444591,0.64
0.7884933904212829,0.64
0.7788751250378902,0.53
1.0272040599904302,0.62
0.8908517387699537,0.54
0.9141266612033427,0.57
0.9039625648956542,0.59
0.932294555178701,0.63
0.9086651604916745,0.52
0.8789698076391467,0.51
0.8540795889046329,0.48
0.8271317848102324,0.5
0.8079967297095987,0.54
0.7955285318596843,0.52
0.7869048845411935,0.54
0.7646734317930193,0.57
0.7381213425247608,0.61
0.7113887952543568,0.61
0.7260069090206831,0.64
0.7082729908906281,0.59
0.8317331018722786,0.61
1.7145768233864824,0.7
1.907778822729758,0.71
1.4442688685328817,0.6
1.1081055891454288,0.57
1.017281400322237,0.52
0.9677410598608057,0.51
0.9378632189829539,0.51
0.9044287639660519,0.53
0.871365660390966,0.51
0.839390769361014,0.51
0.9298265226462369,0.62
0.8952856207703532,0.57
0.8805305208843783,0.46
0.8644833014689184,0.52
0.8431321000914485,0.46
0.8167387825321198,0.52
0.8067342628266715,0.52
0.7807998441447132,0.51
0.761035255363108,0.51
0.7398352156265752,0.51
0.714967156382644,0.51
0.6891847784258469,0.47
0.6677474315710561,0.42
0.6448117646393083,0.43
0.623746541746447,0.41
0.6012910440839399,0.39
0.5793156440612779,0.38
0.5580663970234508,0.4
0.5375763021749744,0.41
0.526431750107375,0.35
0.5273183759105015,0.37
0.5138372060965791,0.4
0.5027236841477802,0.43
0.4887863454357612,0.43
0.4725959692523843,0.43
0.4651059392357805,0.41
0.4605543168376873,0.37
0.46597059879441227,0.43
0.46079705575241997,0.37
0.46686124450688216,0.37
0.4674228314478532,0.43
0.4561253465545005,0.39
0.4470335079423088,0.42
0.43806105983346905,0.42
0.4648049791949122,0.57
0.455040522102392,0.37
0.4408373817762465,0.36
0.42574541738459215,0.36
0.42497759767163856,0.37
0.4482721243838559,0.49
0.46186189633868097,0.45
0.4503075487919769,0.4
0.43509522451707944,0.34
0.43495506802920647,0.35
0.4859698035179236,0.41
0.4842323239075869,0.43
0.5322142804617155,0.62
0.5248001047367586,0.52
0.5143538444162393,0.37
0.49740891423347977,0.33
0.495370236363704,0.37
0.5934885449988535,0.48
0.9864840387590721,1.44
0.9470485387578038,0.57
0.8004506425955702,0.46
0.7783343285092846,0.39
3.3741798509137437,6.59
1.9006265601745032,2.97
1.3377076561382961,1.08
1.1255427773791162,1.93
1.0652210425530484,1.38
1.1656067152798493,1.01
1.1380889342785658,1.15
1.1045246098297947,0.96
1.0910931608730063,0.77
1.0656518112462345,0.71
1.0628485444128066,0.68
1.0530059925144062,0.66
1.024681419590106,0.65
1.0328811006143366,0.65
1.029429221142088,0.62
1.060857580088939,1.49
1.1249284161357915,1.86
1.1509427724913133,2.01
1.1317230934120106,1.22
1.0964996764435502,0.82
1.0588661263570827,0.68
1.031345152741237,0.62
1.000053643154158,0.57
0.9748156631514899,0.55
0.9409925769345329,0.51
0.9069092505267762,0.48
0.873726078577922,0.46
0.841669265216187,0.45
0.9709750484997154,0.48
0.9458381329619199,0.45
0.9807556274188692,0.59
0.9668614152806148,0.47
0.9358871543017978,0.45
0.9026742703103434,0.44
0.8984414939195882,0.44
0.9005423597183027,0.54
0.8774626258893189,0.48
0.8658478963336096,0.46
0.858078898535128,0.44
0.8387601911824184,0.43
0.8775414775272963,0.46
0.8742722759814128,0.41
0.8921791300451922,0.43
1.092442026190268,0.51
1.1255427169246044,1.09
1.1012546439047646,1.01
3.443803601238556,2.8
3.3296256955755457,10.31
2.09858701697929,2.41
1.4828868585257264,1.72
3.2479785135889094,2.73
2.2049398493786647,3.13
1.6196341861412984,2.15
1.99961320614212,2.32
5.241658514361202,5.01
2.9674155844215053,3.28
2.0803974182123364,2.16
3.518416484970372,2.81
2.5070186280146594,3.52
1.928139329245108,1.91
2.4784840082481177,1.97
2.8632716770246627,2.12
2.340957453518603,1.87
1.9764623039920468,1.54
1.8544490470742123,1.45
1.774326115160291,1.39
1.7059387281522456,1.28
1.642373986960514,1.2
1.5817859252994884,1.18
1.5236076461940153,1.18
1.4676204748494623,1.16
1.4137059200290079,1.32
1.3617765719791686,1.18
1.3117561504113657,1.18
1.2635734964224659,1.12
1.248413334618164,1.11
1.549814984926027,1.04
3.5632335732746823,5.12
3.7124966228757867,3.39
4.744442383220967,3.55
5.024351166662033,4.5
3.16471755609055,3.14
4.267235188434784,3.45
3.3970103340839133,4.4
2.4063905354229735,2.32
1.8671663672344203,2.09
1.7134430348297705,1.97
1.6292691459528297,1.77
1.5636526476425967,1.57
1.5045793402737133,1.38
1.4488365300568158,1.35
1.3954770895965538,1.31
1.3441767681733912,1.31
1.294790490046889,1.31
1.2472272255151169,1.22
1.201413771675497,1.12
1.1572839623354259,1.06
1.1147753423552007,1.05
1.0738282082556625,1.01
1.0343851414443523,0.98
0.9963908739425933,0.98
0.9597921836829624,0.98
0.92453780935772,0.95
0.8905783725514468,0.96
0.8998872922166707,1.22
0.8737014227519074,1.07
2.660355329658997,1.5
8.365504828678013,8.53
10.283901608752672,9.87
5.05986756650425,3.28
2.510683016113754,2.16
1.5443255526831607,1.8
1.308310339085305,1.56
1.214220740222314,1.43
1.2098174923149938,1.4
1.1768906924926081,1.44
1.4907978611621118,1.77
1.2795676662865207,1.61
1.2113073025314736,1.55
1.162159491380076,1.52
1.1182938132735276,1.45
1.0768977514777598,1.4
1.0533050533424084,1.38
1.048522473031604,1.37
1.0157404026259247,1.27
0.9798061485524295,1.22
0.9518700753213452,1.14
0.9225753682624009,1.09
0.8897198778295206,1.05
0.8572938691155914,0.99
0.8258732032074576,0.96
0.7955573203678827,0.92
0.7663411704385422,0.89
0.7381941773163797,0.87
0.711079882266923,0.84
0.6849611772671267,0.8
0.6598017385808983,0.8
1.7986934598907616,0.89
2.8165042077456692,1.29
1.9582191143945535,0.95
1.9183162538264782,1.0
1.4110563967335543,0.9
1.115743406744742,0.8
1.0304949136938348,0.8
0.9816013231932315,0.79
0.9551541338165936,0.78
1.3408066147476216,0.8
2.009245656310905,1.2
1.914197811055545,0.99
1.8242905209999023,1.14
1.4587907426477615,0.95
1.2939137579968085,0.86
1.2759931421285124,0.85
1.8665161444726381,0.99
1.5288295736201487,0.9
1.4018304347959463,0.81
1.756029892591422,1.08
1.499092307694396,1.31
1.449504305349141,1.0
1.4435135476080967,1.01
1.3980583009663992,0.93
1.348479600584529,0.86
1.299414596001757,0.86
1.2518151604380612,0.86
1.2098707823640302,0.86
1.226506247465907,0.91
1.2394302725989406,0.94
1.2041227723461008,0.86
1.162382202748854,0.84
1.1328179056404744,0.81
1.1070129822707817,0.83
1.0691079355329876,0.86
1.030508247672905,0.79
1.0043460203230532,0.75
1.0242870760098504,0.83
1.7588938907719083,1.54
1.3965331100567349,1.74
