q_sim,q_obs
2.5804259038499786e-05,0.44
3.0225831601383055e-05,0.45
3.1126845350949844e-05,0.45
3.1073950563879304e-05,0.41
3.072416101296565e-05,0.4
3.027849842630255e-05,0.41
2.980393932490246e-05,1.13
2.93239006541187e-05,1.42
2.8848085449634065e-05,0.98
2.8380085829050267e-05,1.21
2.7918477086848074e-05,0.97
2.7462278868422033e-05,0.74
2.701416835351856e-05,1.16
2.6572367038154548e-05,0.72
2.6137649408604576e-05,0.63
2.5712436580002558e-05,0.59
2.529251529941195e-05,0.55
2.4878653006324477e-05,0.55
2.447392999393501e-05,0.52
2.407414132241163e-05,0.54
2.3681190860190417e-05,0.51
2.329424614120976e-05,0.51
2.2914562831885635e-05,0.48
2.2539815948369938e-05,0.47
2.2170907505806552e-05,0.45
2.1807985046669165e-05,0.44
2.1451052023651393e-05,0.45
2.10998102665134e-05,0.44
2.0754379343842517e-05,0.44
2.041452552044915e-05,0.43
2.008322493672073e-05,0.43
1.975829111066854e-05,0.44
1.943823366527288e-05,0.44
1.9163662866090206e-05,0.77
1.887619159806638e-05,0.58
1.8589246937508796e-05,0.45
1.8296663273772012e-05,0.44
1.8015040710701157e-05,0.44
1.773610843515834e-05,0.44
1.7459813645470772e-05,0.44
1.7251264289535757e-05,0.45
1.7006503170662233e-05,0.51
1.675436897156119e-05,0.41
1.6485992978778374e-05,0.39
1.621788115696409e-05,0.37
1.5956788005562618e-05,0.38
1.5696430177231995e-05,0.37
1.5578218930617303e-05,0.37
1.5668770147319232e-05,0.54
1.550562403118026e-05,0.38
1.5276324001030897e-05,0.37
1.5034077330060231e-05,0.37
1.4790618123821385e-05,0.37
1.4549392943819087e-05,0.35
1.4374449854816997e-05,0.36
1.445646531803458e-05,0.41
1.4356927238977832e-05,0.37
1.529662386299729e-05,0.65
1.5362083699183235e-05,0.46
1.5813372343177364e-05,0.41
1.5699504471085568e-05,0.37
1.5487698597614943e-05,0.34
1.6044544024920982e-05,0.38
1.6708448131320995e-05,0.42
1.6776367944282007e-05,0.41
1.6942119771960004e-05,0.44
1.6758448052176972e-05,0.38
1.6512559902786333e-05,0.36
1.6251792948268466e-05,0.36
1.5998258535921074e-05,0.36
1.5742281329453964e-05,0.35
1.548602119126295e-05,0.35
1.5268593802623016e-05,0.35
1.5072791777141976e-05,0.35
1.4836845519897303e-05,0.35
1.4597095115529942e-05,0.34
1.4359120271005461e-05,0.34
1.455487362403051e-05,0.34
1.467365033896312e-05,0.35
1.5062831662977838e-05,0.34
1.4949694407008635e-05,0.33
1.5611147117228542e-05,0.33
1.554274574467226e-05,0.33
1.5341824731664395e-05,0.33
1.5115819896274327e-05,0.33
1.4875873358895241e-05,0.32
