like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-3613.824,1.6872146,276.41647,0.4599435,0.12800755,0.17362517,0.496191,3.5146017,37.524174,-1.3584331,2.8680556,0.07299335,0.06905899,0.7658241,3.3379657,0.0
-3516.444,4.0969405,511.344,0.6749442,0.32061872,0.052248098,0.6015324,2.3311248,62.638397,-1.9379244,8.75715,0.012334244,0.11699395,2.1892016,0.8717488,1.0
-3860.135,2.8931956,391.05618,0.15178533,0.069794804,0.10173852,0.39001903,8.534109,25.712122,-0.030731365,1.6993512,0.035213623,0.046491202,2.5619538,2.4952734,2.0
-4031.1816,4.738998,739.8192,0.5544247,0.24936482,0.07555059,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-3925.9377,3.5024455,624.80664,0.35355005,0.44257668,0.14824201,0.7078014,5.890383,86.23605,1.7903064,5.199464,0.048454043,0.023141973,1.4818906,5.6034026,4.0
-3581.3174,5.3559847,173.81499,0.2583992,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.36105412,1.7340341,5.0
-3862.1746,2.3111098,870.0683,0.77302754,0.19705312,0.12342766,0.8915715,4.7290382,13.644538,-0.7213287,7.5181155,0.060483426,0.09402729,1.8296936,4.0682793,6.0
-3648.3538,4.8987994,280.47757,0.66287845,0.3806751,0.042436004,0.20694534,5.1387753,99.4545,-2.2938259,7.60804,0.051139362,0.08627212,1.4565947,1.5672865,0.0
-3524.5415,4.0969405,335.82568,0.6749442,0.32061872,0.052248098,0.38337734,2.3311248,62.638397,-1.9379244,6.118822,0.0032321364,0.13534993,2.1892016,0.8717488,1.0
-3915.3901,2.8931956,533.88165,0.15178533,0.12435329,0.0721849,0.39001903,8.534109,12.374455,-0.9954761,4.3095675,0.026115067,0.046331175,2.4444833,2.4952734,2.0
-4165.675,5.0389667,798.3224,0.47333488,0.2808219,0.07004673,0.22891408,1.6018035,93.480995,1.4898326,6.631062,0.008970191,0.10695704,2.098244,4.8065047,3.0
-3868.279,5.476411,596.9752,0.38044754,0.4136412,0.09059308,0.68987423,4.221075,82.54411,2.254385,6.8867483,0.035829518,0.08253261,1.1089835,4.9452534,4.0
-3578.6345,5.3559847,173.81499,0.24320886,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.3744708,1.7340341,5.0
-3885.6575,2.3111098,975.9254,0.77302754,0.18284939,0.1824822,0.8915715,1.0399333,13.644538,-0.7213287,7.5181155,0.08481035,0.09402729,1.8296936,4.0682793,6.0
-3585.8716,1.6664284,370.57977,0.57528716,0.12800755,0.17362517,0.60139173,3.5146017,37.524174,-1.3584331,3.0091324,0.096503794,0.11686335,0.077567786,4.0409317,0.0
-3696.7056,1.7552571,987.70593,0.6749442,0.3536332,0.052248098,0.7079346,1.9289399,62.638397,-1.9379244,8.75715,0.06276524,0.11699395,1.0844213,4.920006,1.0
-3864.5679,2.8931956,391.05618,0.15178533,0.069794804,0.073374584,0.3252211,8.534109,12.486368,-2.3550138,2.9839694,0.035213623,0.06867077,2.5619538,2.4952734,2.0
-4037.2598,4.738998,739.8192,0.851947,0.37187052,0.072836004,0.30122027,1.2168947,74.55557,2.2328432,9.14501,0.012129508,0.12033571,1.1669761,4.851055,3.0
-3773.9968,4.742116,693.27234,0.62796986,0.41238216,0.12964164,0.7167249,1.4034188,95.104965,1.7992527,8.312132,0.032164227,0.08063349,0.90174127,5.148426,4.0
-3553.249,5.1847935,288.20233,0.1269807,0.28078812,0.005073641,0.6753002,9.263751,26.195433,0.45070067,3.1195889,0.08624518,0.16919613,0.3744708,2.10133,5.0
-3952.6748,2.0095003,768.86993,0.830943,0.23093498,0.112534836,0.97080046,5.243001,8.44768,-1.9945668,8.538397,0.054553296,0.083535105,2.284735,2.3946993,6.0
-3674.9421,4.593294,231.90831,0.28179714,0.055746224,0.016918689,0.41842076,7.533988,29.198183,-0.79767996,3.0091324,0.08460391,0.11686335,0.077567786,4.0409317,0.0
-3484.6558,1.6337378,511.344,0.6749442,0.20434764,0.052248098,0.6015324,2.0776548,71.0785,-1.9379244,8.75715,0.012334244,0.07529697,2.1892016,0.8717488,1.0
-4008.6875,1.2508054,391.05618,0.32258692,0.069794804,0.073374584,0.8294133,8.534109,12.486368,-2.3550138,3.9641993,0.035213623,0.06867077,2.5619538,2.4952734,2.0
-4098.24,4.738998,739.8192,0.49086162,0.025313647,0.07555059,0.4344418,1.2168947,67.56888,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-3779.2722,4.742116,989.6105,0.62796986,0.41238216,0.12964164,0.8575424,1.9151694,95.104965,1.7992527,8.312132,0.045197606,0.14042208,0.90174127,5.148426,4.0
-3568.6274,2.6425111,288.20233,0.1269807,0.28078812,0.005073641,0.7726717,9.263751,26.850796,0.45070067,3.1195889,0.089452535,0.16919613,0.3744708,2.10133,5.0
-3752.8928,2.7697244,811.78784,0.6773381,0.32978335,0.12342766,0.8915715,4.7290382,73.240654,0.8925081,7.5181155,0.013588167,0.07346464,1.8296936,4.0682793,6.0
-3787.238,2.0452325,234.16829,0.59009826,0.12800755,0.14872608,0.7589256,3.5146017,47.068737,-1.175013,3.0091324,0.08643635,0.11686335,0.62140083,3.1081257,0.0
-3478.124,1.6922592,311.97937,0.44674295,0.086864814,0.03185634,0.35231096,3.8642912,42.753574,-1.62816,6.7112956,0.02202136,0.07295888,2.529859,0.22840592,1.0
-3795.2312,2.2433724,391.05618,0.272244,0.051902317,0.12477017,0.3621175,8.534109,12.486368,-2.086249,2.4972436,0.043990076,0.06867077,2.2029712,2.4952734,2.0
-4045.2085,4.362563,739.8192,0.5544247,0.24936482,0.059548672,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.01013293,1.4897962,4.851055,3.0
-3735.5095,4.742116,693.27234,0.62796986,0.14175855,0.10580582,0.7167249,1.0346744,95.104965,1.7992527,8.3579035,0.032164227,0.08063349,0.90174127,1.4231399,4.0
-3517.5166,2.8800735,288.20233,0.1269807,0.40141937,0.005073641,0.6753002,9.263751,26.195433,0.45070067,3.1195889,0.06752778,0.16919613,0.3744708,2.10133,5.0
-3891.9897,2.0421598,813.0884,0.6773381,0.32978335,0.15197974,0.86159647,0.70397216,91.14356,0.40350142,7.5181155,0.013588167,0.07346464,1.8412403,3.9369874,6.0
-3459.294,2.1215084,322.9325,0.5913269,0.114873834,0.12798019,0.39737344,0.834507,48.21831,-1.1323483,4.0398936,0.09292811,0.14052281,0.03275143,3.52524,0.0
-3203.4768,1.6922592,311.97937,0.36098328,0.19862187,0.034698546,0.36788538,3.8642912,42.753574,0.29527527,6.7112956,0.013113918,0.10953529,2.529859,0.35568258,1.0
-3708.0981,2.0233533,387.06332,0.42995656,0.106036544,0.17447756,0.40495807,5.8225746,26.825535,-2.3896353,3.380887,0.05353572,0.039825298,1.9999752,1.8127142,2.0
-3884.3254,3.7225304,588.40656,0.5190599,0.2698741,0.036097087,0.21674672,0.48642775,64.985794,1.0951253,6.021858,0.03166904,0.18116164,1.0698466,5.0720835,3.0
-3850.9602,5.0228024,889.43335,0.7390117,0.19102979,0.0749763,0.7163888,0.8748502,84.3794,1.8797172,9.029269,0.009622739,0.08467628,1.6373984,1.9156408,4.0
-3574.328,1.869517,234.93634,0.14194185,0.4340263,0.0045488486,0.7538505,9.856651,20.21995,0.34185076,3.2612245,0.068099104,0.17513971,0.48249704,2.004412,5.0
-3776.5098,2.0806751,811.78784,0.7747755,0.30532628,0.093286864,0.6263216,4.7290382,73.240654,1.0240293,7.5181155,0.013588167,0.122490555,1.8296936,5.188241,6.0
-3587.0808,2.1215084,322.9325,0.74455184,0.045626767,0.14772841,0.39737344,3.147673,48.21831,-1.2323283,4.0398936,0.09292811,0.10205552,0.03275143,3.52524,0.0
-3478.1108,1.6922592,634.8929,0.36098328,0.15365678,0.100539766,0.5029115,3.8642912,73.342545,0.29527527,9.347804,0.018950788,0.0549853,2.529859,0.35568258,1.0
-4164.6523,5.162629,987.3389,0.38835803,0.106036544,0.17447756,0.40495807,5.8225746,66.56992,-2.3896353,3.380887,0.05353572,0.039825298,1.9999752,1.8127142,2.0
-4047.618,2.664114,588.40656,0.07965998,0.2698741,0.010311667,0.21674672,4.773354,17.349056,1.0951253,4.532904,0.0069992775,0.12157418,1.0698466,5.0720835,3.0
