q_sim,q_obs
3.894069048497684e-05,0.51
7.194616579328377e-05,0.52
8.146649908202677e-05,0.51
8.136545968779891e-05,0.51
7.855967144470935e-05,0.52
7.519587176993262e-05,0.51
8.173007743986868e-05,0.63
0.00015082866231602135,0.65
0.00026521563824902965,0.55
0.0003920279325049084,0.53
0.0009290650995970181,0.62
0.0014141704603853385,0.62
0.0015814590359708085,0.56
0.0015802353549145423,0.57
0.0018981905179336297,0.55
0.0023265887142119137,0.61
0.003687294696752201,0.7
0.005932025687788875,0.72
0.008382118855668245,0.66
0.009578317831738872,0.66
0.009670421346625713,0.57
0.009373677398268589,0.56
0.014107705223128892,0.66
0.02350283561412738,0.99
0.029891734187129964,1.45
0.03160091566776844,0.72
0.03107959797116039,0.67
0.029901662140414988,0.61
0.02912407831268255,0.56
0.028280559734643516,0.55
0.02716940392405747,0.56
0.02598408773390906,0.52
0.024816196671656483,0.52
0.023692170506548857,0.51
0.022617060281574834,0.48
0.021590299800128623,0.48
0.021493569334858513,0.49
0.02162930275687787,0.49
0.022193051403157547,0.48
0.02223231747857645,0.48
0.021586420595723667,0.47
0.020706174240992442,0.45
0.019790383189917684,0.46
0.018897354693755464,0.44
0.02249207094042352,0.44
0.04659837179342239,1.0
0.08283670139772192,3.04
0.11018955416548296,1.45
0.12209386920200536,1.18
0.12415863239763625,0.87
0.12138060386108179,0.76
0.11669895239551742,0.69
0.11160973406855665,0.65
0.10659087354350137,0.61
0.10176198634657516,0.59
0.10634309979522993,0.57
0.10968541762891076,0.6
0.11224261904119018,0.57
0.11834532967177057,0.61
0.12026474572868615,0.6
0.11731222948308545,0.57
0.11267174403092305,0.53
0.10772284363756529,0.52
0.10286963269584731,0.53
0.09820717653372918,0.53
0.09374996823499712,0.53
0.09453878590117873,1.35
0.09472718366675609,0.95
0.09206120848455346,0.69
0.0883395473125036,0.61
0.08444154909276999,0.6
0.083966366572919,0.6
0.09054093992118795,0.63
0.1239823464687422,0.7
0.19794942166978652,3.69
0.3002346235367896,3.57
0.3680480466866664,1.91
0.3858090108758936,1.44
0.40613097941805887,1.33
0.4161422116348147,1.1
0.4299700038711646,1.08
0.44251147619522163,1.15
0.43872460252821033,1.3
0.4372135533870283,1.42
0.4305078328899149,1.68
0.4297561930487857,1.39
0.437172616042474,1.48
0.4338386330810394,1.45
0.41973579393011823,1.24
0.40219836562643363,1.07
0.3843054481840193,1.0
0.36693991794562036,1.01
0.37648186668095096,0.98
1.0871567455482742,1.41
2.109074643009312,10.11
1.9095676628898728,5.4
1.4130445991713745,2.82
1.1045949128739965,2.27
0.9318900782713485,1.88
0.8500601358616333,1.7
0.8009544991304596,1.58
0.7744693054023366,1.57
0.749752181438762,1.52
0.7196077185925589,1.41
0.68803619816187,1.41
0.6570695926776169,1.3
0.6386997979141733,1.93
0.6198399965928156,1.65
1.2725474891440516,2.49
1.370956798724103,4.4
1.1716058667259501,3.55
1.0341312532323268,3.48
0.9423543596164082,2.21
0.8848591406107031,1.82
0.840740289650117,1.79
0.8016197650087016,1.7
0.7650106485659103,1.62
0.737624982789366,1.5
0.710691889213418,1.39
0.6808185067447978,1.3
0.6505784265674005,1.28
0.6212055639964749,1.21
0.5930386893311326,1.21
0.5661211226009804,1.17
0.5404192225654005,1.1
3.704477436372199,2.34
5.289407395641234,9.95
4.002826989634146,3.08
2.933870810420698,3.0
3.2415602063555866,5.55
2.852618463540405,4.34
1.9506495454119386,3.14
1.4315435855843563,2.65
1.2314311817113155,2.38
1.1403717272985818,2.18
1.0803115141925623,1.91
1.029426602515374,1.82
0.982297703459582,1.76
0.9376181529393552,1.58
0.8950313118542524,1.53
0.8629977285528307,1.49
0.8314583935078634,1.39
0.7964966932017512,1.37
0.7611149847530186,1.36
0.7267506359074678,1.31
0.6937979020913448,1.26
0.6639348051094149,1.25
0.6439387218154846,1.18
0.6229574168646581,1.15
0.5976408128876183,1.12
0.5925429437178313,1.14
0.5846803252396413,1.14
0.6013506550740542,1.15
0.6325401692471051,1.19
0.6376593776980557,1.15
0.6199940933818945,1.08
0.6328082794918615,1.07
0.6482927211641794,1.13
0.6694337798086993,1.13
2.3303219308248786,1.16
3.756855043513476,4.43
3.292394161631609,3.6
3.2091072969380265,2.92
2.6361908649066548,3.25
1.8097312780339552,2.26
1.376688248863785,1.92
