like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-3964.6614,1.6872146,276.41647,0.4599435,0.12800755,0.17362517,0.496191,3.5146017,37.524174,-1.3584331,2.8680556,0.07299335,0.06905899,0.7658241,3.3379657,0.0
-3523.947,4.0969405,511.344,0.6749442,0.32061872,0.052248098,0.6015324,2.3311248,62.638397,-1.9379244,8.75715,0.012334244,0.11699395,2.1892016,0.8717488,1.0
-3903.392,2.8931956,391.05618,0.15178533,0.069794804,0.10173852,0.39001903,8.534109,25.712122,-0.030731365,1.6993512,0.035213623,0.046491202,2.5619538,2.4952734,2.0
-3723.5596,4.738998,739.8192,0.5544247,0.24936482,0.07555059,0.30122027,1.2168947,74.55557,1.1734861,6.30584,0.024921563,0.14237693,1.1669761,4.851055,3.0
-4028.2817,3.5024455,624.80664,0.35355005,0.44257668,0.14824201,0.7078014,5.890383,86.23605,1.7903064,5.199464,0.048454043,0.023141973,1.4818906,5.6034026,4.0
-274282.22,5.3559847,173.81499,0.2583992,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.36105412,1.7340341,5.0
-153548.89,2.3111098,870.0683,0.77302754,0.19705312,0.12342766,0.8915715,4.7290382,13.644538,-0.7213287,7.5181155,0.060483426,0.09402729,1.8296936,4.0682793,6.0
-3761.4575,4.8987994,280.47757,0.66287845,0.3806751,0.042436004,0.20694534,5.1387753,99.4545,-2.2938259,7.60804,0.051139362,0.08627212,1.4565947,1.5672865,0.0
-3686.575,4.0969405,335.82568,0.6749442,0.32061872,0.052248098,0.38337734,2.3311248,62.638397,-1.9379244,6.118822,0.0032321364,0.13534993,2.1892016,0.8717488,1.0
-63518.484,2.8931956,532.29333,0.15178533,0.026100287,0.12494145,0.39001903,8.534109,11.074418,-0.63075936,2.5672987,0.034030642,0.039932005,2.7072532,2.4952734,2.0
-4014.1733,4.1925945,797.17413,0.42043296,0.21716627,0.10426462,0.24838762,1.1459044,77.43881,1.7122619,5.464335,0.0030477135,0.10283928,1.9019089,5.27105,3.0
-4264.1265,4.608031,595.97107,0.32746354,0.47872663,0.121503085,0.75760746,3.7758121,99.98544,2.480814,5.732011,0.041934434,0.077914685,0.9301258,5.4219437,4.0
-274292.03,5.3559847,173.81499,0.4312406,0.38308254,0.026249483,0.7985375,7.1406646,50.356857,0.57108736,3.9485102,0.08624518,0.17159308,0.63542503,1.7340341,5.0
-153557.64,2.3111098,979.7019,0.77302754,0.45847934,0.08860682,0.8915715,0.48777297,13.644538,-0.7213287,7.5181155,0.09123504,0.09402729,1.8296936,4.0682793,6.0
