q_sim,q_obs
9.815567894278437e-05,1.06
0.00010557589737141763,1.03
0.00010182169355327912,0.94
9.850343153792957e-05,0.9
9.485198599877978e-05,0.88
9.190546348492424e-05,0.82
9.150348775182685e-05,0.82
9.23411363027588e-05,0.8
0.00010974148334302276,0.83
0.0001800702860258236,1.1
0.0002547497319265263,1.12
0.00028350423170555694,0.87
0.0002992816763209055,0.92
0.00029646911167069287,0.82
0.0002971899542068336,0.76
0.0003041311496793773,0.74
0.0003522461696646004,0.71
0.0003679458677849325,0.72
0.0003681675734148654,0.69
0.00040672103225614114,0.63
0.0005328085303578033,0.69
0.0009075086669030254,0.91
0.0013195564630162312,1.19
0.001301830029369787,0.97
0.00123484631960449,0.8
0.0011664833432302297,0.73
0.0011014428788838834,0.7
0.0010399857006371514,0.69
0.0015820083683467205,0.81
0.0030108580857454337,2.83
0.005308940390275368,3.53
0.006125645606992074,1.76
0.00728892512297171,1.47
0.008012195383131276,1.24
0.008266405079586515,1.1
0.008207339439172706,1.05
0.008108272778775766,0.99
0.008483441594011203,0.98
0.011976327615383982,1.31
0.014027541288914838,2.58
0.014268598862365145,1.49
0.018192310201226827,2.38
0.01939337717803403,1.6
0.022332180816229657,1.62
0.023710398409405458,1.56
0.02928883053508849,2.07
0.035775886325115754,2.74
0.039456006453851784,2.43
0.04776439380776773,2.2
0.05839863289830895,3.64
0.06371357156063294,2.65
0.06458994791788492,2.03
0.06472101514194596,1.8
0.06437459863610516,1.66
0.06961214810309237,1.57
0.07390871914988753,1.71
0.07412186461906907,1.56
0.07207494508942076,1.45
0.06967874667749895,1.4
0.08071729618768489,1.58
0.09054774390773065,1.78
0.09250997862398586,1.66
0.1016488700458282,1.54
0.10708312623739806,2.05
0.10558019178673378,1.57
0.10123125549299916,1.44
0.10445589052516889,1.38
0.12611146718640656,2.33
0.14902838190101506,3.65
0.15769270318599413,2.17
0.16778963051843915,1.93
0.17018604845775365,1.76
0.1672563645566456,1.62
0.1805608512474001,1.67
0.18337769590237588,2.12
0.19118189641107994,1.81
0.19724031616672166,1.81
0.20081885833479318,1.69
0.19730007109749292,1.59
0.18842639174347786,1.52
0.17846213431138486,1.45
0.16921113340196506,1.39
0.1621585103950145,1.34
0.15730356934849918,1.31
0.1515951400371894,1.25
0.15009342827862346,1.23
0.1499519707433558,1.18
0.15146020057049114,1.15
0.1592678846606266,1.13
0.2599066349191036,4.31
0.28052603744879845,3.36
0.2868563126639605,2.24
0.2755827621055929,1.95
0.26134693314274415,1.84
0.2660695263443586,1.86
0.2708420889449592,1.74
0.26049595319413626,1.55
0.24868978630221833,1.45
0.23763951216149243,1.39
0.2255601367419919,1.38
0.21466852622182492,1.32
0.20878714556715758,1.31
0.20877523597547248,1.38
0.20213407762074606,1.26
0.20043944145524442,1.3
0.19711960817787472,1.2
0.18935239630768866,1.18
0.18529721000096278,1.12
0.18210075675461482,1.09
0.17825053577007988,1.11
0.16982801446456128,1.04
0.16285308191276707,1.0
0.15577184839380065,0.98
0.15644658400991776,0.98
0.16411773779386296,1.0
0.15995424981950745,0.93
0.1523399216838749,0.91
0.1456630911055034,0.9
0.13879814904314686,0.87
0.14449643814740057,0.85
0.15133521458803303,0.83
0.1723510409512661,0.97
0.17474779197040313,0.91
0.17049660498872404,0.83
0.17099567777278696,0.81
0.16653105734042775,0.83
0.15982818986060954,0.74
0.15387481462704128,0.69
0.14750406272476002,0.66
0.14089371309859927,0.69
0.1364126041570111,0.72
0.13477382221759948,0.71
0.16170472953036572,0.84
0.1611933776057352,0.79
0.15285724434825823,0.68
0.1443290357014102,0.68
0.13931214471379275,0.65
0.14369204081804784,0.66
0.14891739453323916,0.67
0.16219611146823554,0.71
0.16802323542478148,0.79
0.16969038833243286,0.64
0.19580625320869408,0.97
0.19306914940023395,0.65
0.1868258245879946,0.63
0.1904051276235488,0.62
0.1845704427697296,0.6
0.19439767068884506,0.71
0.1936960924006542,0.62
0.18743671829242575,0.59
0.20678452253239418,0.78
0.22400618875438597,0.85
0.2194071316913468,0.62
0.20758279284906692,0.51
0.20141503501305907,0.56
0.2227889406944011,0.67
0.2270075667253609,1.08
0.24681760410827405,0.73
0.24081168050051724,0.59
0.22792474233383897,0.56
0.21601623496236966,0.54
0.2084524879870266,0.52
0.20975585309626207,0.51
0.2017842511203866,0.51
0.1913222995528811,0.49
0.182228306357895,0.5
0.18665885024914014,0.5
0.1779344913866935,0.51
0.16798754126087384,0.48
0.15915724806659462,0.47
0.15095443427853722,0.47
0.14326392796970994,0.47
0.13610785862120167,0.44
0.13961891849208663,0.45
0.1379489469392084,0.44
0.154107872134732,0.56
0.15832039849995894,0.59
0.15865550059423428,0.59
0.15135297910745324,0.69
0.14278612368275706,0.63
0.13526035000413528,0.5
0.13291650435159688,0.58
0.1273937261996454,0.69
0.13039391984373977,0.68
0.13878533011964425,0.89
0.14397581874778928,0.55
0.1403709203985829,0.49
0.13432489388740576,0.44
0.14538356430951865,0.4
0.17129672105059313,0.75
0.18179334067342195,0.37
0.18561948230407022,0.77
0.18209202932442264,0.36
0.17855015398170943,0.37
0.18368359860103337,0.37
0.20930025916905887,0.67
0.2305532335890131,0.96
0.23520981986301517,0.73
0.22780013576725355,0.52
0.21910903576986665,0.47
0.21210362807347877,0.43
0.20330937843983987,0.41
0.19456649001041085,0.41
0.18511227889641116,0.41
0.17800219631829806,0.41
0.1828808320482535,0.45
0.18990708093475464,0.44
0.21432283460271465,0.58
0.2185836683032559,0.44
0.2299168447064074,0.52
0.23854281811574768,0.49
0.24412950740424733,0.52
0.23629490466985445,0.4
0.2249592701249878,0.38
0.2531452818180672,0.81
0.24864497694212645,0.5
0.23818231419994063,0.45
0.2281875237670301,0.47
0.2174115472980489,0.44
0.22556804849098827,0.43
0.23808825336221343,0.61
0.23210970678987014,0.45
0.2229266639246787,0.43
0.21183198109185997,0.4
0.2006508103190975,0.39
0.19078603022989096,0.37
