like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-12969.227,1.5948178,295.1157,0.48850596,0.12598266,0.17690699,0.5016855,3.7952232,35.46017,-1.2125775,2.7705085,0.07434308,0.07656269,0.7010648,3.1540716,0.0
-12459.014,4.111466,525.1025,0.7174347,0.30474404,0.05139857,0.5952612,2.5994887,60.498722,-1.9151112,8.744771,0.014216371,0.12732558,2.1797035,0.7518651,1.0
-13712.146,2.9014957,421.63724,0.1463181,0.072472185,0.095863104,0.4046801,8.714865,23.780056,-0.009846249,1.7051123,0.038896233,0.051161796,2.5053868,2.3417087,2.0
-14074.652,4.793152,746.14685,0.6185013,0.24179988,0.07182668,0.3002304,1.3658047,73.86745,1.2432328,6.142403,0.026441883,0.15176673,1.0768154,4.812224,3.0
-13461.093,3.492002,640.1373,0.39081934,0.44334772,0.1481227,0.6957208,6.050207,86.85654,1.8181878,4.8367906,0.051322836,0.02849813,1.444657,5.675038,4.0
-12588.498,5.327683,172.40164,0.26320952,0.3813138,0.025635468,0.7954758,7.428278,47.874985,0.58695483,3.895047,0.087252885,0.17646842,0.32511258,1.6137567,5.0
-13618.68,2.3046618,872.73126,0.8136836,0.18207851,0.12048868,0.90867233,4.975286,12.927807,-0.603447,7.412186,0.062184032,0.099485554,1.7623439,4.006768,6.0
-13112.789,4.963041,286.94458,0.72915477,0.36446145,0.03530194,0.23301968,4.7376537,95.14383,-2.3759704,7.751447,0.04842061,0.07042806,1.4951688,1.8824818,0.0
-12728.466,4.111466,361.03534,0.7174347,0.30474404,0.05139857,0.39546382,2.5994887,60.498722,-1.9151112,6.3841643,0.005673816,0.1451418,2.1797035,0.7518651,1.0
-13800.092,2.9014957,561.09705,0.1463181,0.11876366,0.06496375,0.4046801,8.714865,10.403537,-1.0037981,4.3677716,0.030055813,0.05059149,2.4713514,2.3417087,2.0
-14487.019,5.1298914,815.8813,0.5374802,0.2748547,0.06460837,0.2361107,1.6930197,93.26207,1.5101125,6.43997,0.005922598,0.11694994,2.0264874,4.810665,3.0
-13355.769,5.5013676,604.07965,0.43015146,0.41567442,0.09055508,0.6666519,4.3801484,82.09201,2.239615,6.5163856,0.03804944,0.089757115,1.0854924,5.049188,4.0
-12580.216,5.327683,172.40164,0.23222363,0.3813138,0.025635468,0.7954758,7.428278,47.874985,0.58695483,3.895047,0.087252885,0.17646842,0.3521436,1.6137567,5.0
-13640.878,2.3046618,960.6293,0.8136836,0.17181009,0.1813432,0.90867233,0.81229556,12.927807,-0.603447,7.412186,0.08641412,0.099485554,1.7623439,4.006768,6.0
-12788.007,1.5642687,374.75122,0.6060773,0.12598266,0.17690699,0.616352,3.7952232,35.46017,-1.2125775,2.9293852,0.096765384,0.123628505,0.17306668,3.8416917,0.0
-13065.194,1.869134,996.12946,0.7174347,0.3302321,0.05139857,0.71597,1.5946904,60.498722,-1.9151112,8.744771,0.06244439,0.12732558,1.251452,4.958888,1.0
-13725.097,2.9014957,421.63724,0.1463181,0.072472185,0.0668988,0.35231587,8.714865,9.433049,-2.3993351,3.235599,0.038896233,0.07534136,2.5053868,2.3417087,2.0
