q_sim,q_obs
4.3156146867893476e-05,1.06
7.492490151757491e-05,1.03
8.03219702043618e-05,0.94
7.843819570065495e-05,0.9
7.530892495791186e-05,0.88
7.210882791761884e-05,0.82
6.911714828955912e-05,0.82
6.630642746811884e-05,0.8
6.487465874239021e-05,0.83
7.052794657247071e-05,1.1
7.43087913153884e-05,1.12
7.323384882247484e-05,0.87
7.048129497075567e-05,0.92
6.747698911781818e-05,0.82
6.454015646520969e-05,0.76
6.17219919457373e-05,0.74
6.899624118582958e-05,0.71
8.33943061327441e-05,0.72
8.926858339598e-05,0.69
8.767566151738655e-05,0.63
0.00011961552575452329,0.69
0.00022975603731746746,0.91
0.00029523942014678253,1.19
0.0003012803701764029,0.97
0.00029159377824893994,0.8
0.00027940033710148953,0.73
0.00026727167766646756,0.7
0.00025560527489614296,0.69
0.0006083712689878952,0.81
0.0018374139657832674,2.83
0.002817280368990788,3.53
0.0031777042365697603,1.76
0.0035065567313015667,1.47
0.003736205741097672,1.24
0.003768147676239997,1.1
0.003805859946147835,1.05
0.003803857199557373,0.99
0.004137223884760245,0.98
0.006781162329431169,1.31
0.008994434309340658,2.58
0.011823857385478713,1.49
0.014439162220810986,2.38
0.016097328664895178,1.6
0.018155122530770586,1.62
0.020284680494363636,1.56
0.024632778518110663,2.07
0.02984144269413598,2.74
0.034066864900910654,2.43
0.043295544268784195,2.2
0.052882548144432884,3.64
0.058403820395949047,2.65
0.05907331590197555,2.03
0.058477316739270944,1.8
0.05769378452690589,1.66
0.060630241884698614,1.57
0.06568617127660552,1.71
0.06733459673886082,1.56
0.06601900287572546,1.45
0.06779544960661228,1.4
0.07564424675409473,1.58
0.08498283236397271,1.78
0.08928076497887205,1.66
0.09989166858792209,1.54
0.11007816805968221,2.05
0.11313104827378523,1.57
0.11152191136373232,1.44
0.11204301315352709,1.38
0.13668875464174135,2.33
0.1550575098238557,3.65
0.16130850268058794,2.17
0.16452146390194022,1.93
0.16300097101001568,1.76
0.15864268061981252,1.62
0.17210502371244626,1.67
0.1820247930602757,2.12
0.19086659846091797,1.81
0.19604541442267256,1.81
0.20133826740585278,1.69
0.20216657616363898,1.59
0.19706261998251925,1.52
0.18989310467312903,1.45
0.18250527820937398,1.39
0.17577897251316413,1.34
0.17233527828574793,1.31
0.16954369473643144,1.25
0.1674191938460881,1.23
0.16748501329301316,1.18
0.1659226094217041,1.15
0.21209725242951538,1.13
0.3051198320551035,4.31
0.35560873807568116,3.36
0.3691243159758127,2.24
0.3684458657460492,1.95
0.36116131258366857,1.84
0.35959628258707216,1.86
0.3627048685085674,1.74
0.3579246002425103,1.55
0.3472186927278191,1.45
0.3353888924574604,1.39
0.32258621713579644,1.38
0.31022170074696004,1.32
0.3029991243039057,1.31
0.3025608131844725,1.38
0.3033015902203789,1.26
0.30378162258539354,1.3
0.30136603223883973,1.2
0.2934325695521791,1.18
0.28386981545696677,1.12
0.27631134550776554,1.09
0.2685615870377735,1.11
0.2590507972254098,1.04
0.24878279778372733,1.0
0.2389792686676836,0.98
0.23158313853281337,0.98
0.2308336532756746,1.0
0.22756430750568243,0.93
0.22015295171693608,0.91
0.21182650230876343,0.9
0.203405427613305,0.87
0.20097319981021225,0.85
0.20873888668867008,0.83
0.22517428464587008,0.97
0.23972945592152814,0.91
0.24411426240756018,0.83
0.2474328547905675,0.81
0.24676194512491356,0.83
0.24045634714440567,0.74
0.23198868424672936,0.69
0.22381424823677223,0.66
0.21686281048414466,0.69
0.20974175123247685,0.72
0.21536976077494502,0.71
0.23622702721713779,0.84
0.24483318448132327,0.79
0.2397738632861734,0.68
0.23095286145009106,0.68
0.22197905674738924,0.65
0.2159574376109188,0.66
0.2119414973585757,0.67
0.221930976056477,0.71
0.23112568750177026,0.79
0.25057611706757565,0.64
0.2686500315609268,0.97
0.27071866805193107,0.65
0.26302055930235413,0.63
0.25498857488569343,0.62
0.25088785039621236,0.6
0.24753803081128858,0.71
0.24198343778300105,0.62
0.24189543392387705,0.59
0.2654158208862035,0.78
0.28606799131778937,0.85
0.28735917505639685,0.62
0.2786339070437133,0.51
0.269738093077007,0.56
0.287692910166831,0.67
0.3016912391235661,1.08
0.30140909022120443,0.73
0.2946128853750655,0.59
0.28443152111918785,0.56
0.2732217963701437,0.54
0.2639501314571512,0.52
0.25654815403489034,0.51
0.24791106234781574,0.51
0.23821431525054942,0.49
0.22904331945449366,0.5
0.22313016829252208,0.5
0.2164459483041071,0.51
0.2081703826240391,0.48
0.19981728618723768,0.47
0.1917193975029655,0.47
0.1838798196300385,0.47
0.1762685000723121,0.44
0.16889759681229172,0.45
0.16396300188163956,0.44
0.16830011007436546,0.56
0.1755236926246622,0.59
0.18132066654876144,0.59
0.1818607427078905,0.69
0.17700374363011515,0.63
0.1708040306296647,0.5
0.16765082331479347,0.58
0.1643518796397156,0.69
0.17569339946405793,0.68
