q_sim,q_obs
4.2359640614979804e-05,2.07
5.7662849383054645e-05,1.51
6.533564743061701e-05,1.27
6.924744288434172e-05,1.23
7.095202279416632e-05,1.18
7.12526235709236e-05,1.13
7.06228270079474e-05,1.11
6.936476261303604e-05,1.05
6.768127465817982e-05,1.02
6.571333111724587e-05,0.98
6.356125461716893e-05,0.94
6.129760916790973e-05,0.91
5.897543432686226e-05,0.86
5.66337220142151e-05,0.83
5.4301177438946695e-05,0.8
5.164318476039351e-05,0.75
7.148234764411286e-05,2.08
0.0006906852915671402,2.37
0.0009140981697965034,1.67
0.0010251200706741844,1.43
0.0010806095101473985,1.28
0.0011268456667230062,1.16
0.0011374339892585479,1.1
0.0011300993523609265,1.04
0.0011114538037612452,1.05
0.0010853621647630215,0.99
0.0010543579756733526,0.93
0.001020189860995396,0.92
0.0009840997428991623,0.96
0.0009469847758254259,1.03
0.0009094992743632458,0.91
0.0008719344714146567,0.91
0.0008297214282685626,0.86
0.008775188040641278,2.06
0.018545835693420984,3.47
0.02245722484222525,2.34
0.03304533846891336,2.34
0.03709110887200205,2.3
0.03895822219910659,2.07
0.03965562838305868,1.77
0.03963422920598961,1.57
0.03914525080382991,1.46
0.03834485646486117,1.4
0.03733649999508523,1.31
0.03619153053857689,1.26
0.03496047384593288,1.25
0.033679736708307276,1.21
0.03237583693753634,1.18
0.04028907830773285,1.19
0.05018068245645004,1.22
0.05337339717382671,1.28
0.05428767688552576,1.33
0.07440252902796207,1.57
0.0889810891359199,2.23
0.09572083402517387,2.73
0.10287837092513871,2.18
0.12034989671894061,2.22
0.12568579368427873,2.19
0.13556931455259383,2.32
0.1394427375187837,1.97
0.14002092956485057,1.67
0.13829380590787554,1.53
0.1353236007370713,1.45
0.13151594334237507,1.34
0.12719070532460855,1.38
0.12261681216703336,1.24
0.11791845184747328,1.23
0.11301177576648823,1.18
0.10810141161712669,1.15
0.10329514291210175,1.15
0.09858800285860005,1.11
0.10224775261098627,1.08
0.12203969018109684,1.21
0.13426176451163158,1.52
0.15374016147515496,3.71
0.15932122834539086,2.06
0.16011168605524662,1.72
0.15836258093329275,1.57
0.16486263134181972,1.49
0.18109527773329265,1.73
0.1854841846610299,1.5
0.18481752897085313,1.41
0.1817082093992389,1.37
0.17737485853839177,1.31
0.1829399342597866,1.29
0.19621548901892955,1.42
0.20908005449045652,1.54
0.2188129415708056,1.58
0.22931898170368206,1.67
0.23175815941303016,1.52
0.2329979864388808,1.38
0.23019202690040103,1.31
0.24081467441048304,1.25
0.24461914465412818,1.27
0.24428605156543898,1.19
0.23965772445401426,1.13
0.23316699464910762,1.11
0.22574642673874568,1.05
0.21771741745326162,1.03
0.20936108968825823,0.98
0.2054990472641184,0.99
0.2086123294949692,1.01
0.21940093312943626,1.05
0.22181967675069042,1.4
0.2213906787629536,1.01
0.21700491742308184,0.97
0.21089431748718745,0.93
0.20376110542071602,0.92
0.19615427192817475,0.92
0.18897357950541682,0.88
0.18139973765756218,0.86
0.17378021538315086,0.85
0.16625004262358678,0.82
0.15888009471521525,0.8
0.15171204893559226,0.78
0.14723473049720698,0.84
0.1415937164820268,0.76
0.1354875330689255,0.74
0.12939143859662974,0.74
0.12601961786960147,0.74
0.1272639323886884,0.74
0.13062249013876567,0.74
0.13379699903807346,0.71
0.13306046265873997,0.65
0.13153711125773646,0.64
0.16196666776004792,1.18
0.17788597313328447,0.95
0.18337978280816658,0.69
0.19393182438513878,0.97
0.19912742450630921,0.84
0.22082340138324003,0.91
0.22614895383264394,1.24
0.2332889631231977,0.76
0.24759853554996877,0.74
0.2533589828495696,0.7
0.2536215249723849,0.68
0.26096940551107783,0.67
0.2635036364837102,0.7
0.29876977946532673,0.65
0.33569832170271424,1.0
0.34790394935649394,0.79
0.34907891761897303,0.68
0.345450770996406,0.64
0.33816335633071365,0.64
0.33533226590782644,0.63
0.4058112475116408,1.03
0.4045529119261472,0.84
0.41119908337400757,0.73
0.407834170725904,0.66
0.514233952889801,1.01
0.5032138318638737,1.43
0.5014984584945101,1.03
0.5046850684385255,0.86
0.4968960195755096,0.76
0.484291144926298,0.71
0.4693075611932281,0.68
0.4651431365205644,0.75
0.45599327110612015,0.95
0.44411701935921244,0.66
0.4550508454466381,0.61
0.4481204892879013,0.6
0.43669691214309936,0.66
0.4270801732870418,0.61
0.41341060071984753,0.57
0.39926115263134776,0.73
0.38462886574951377,0.58
0.3691373196552773,0.55
0.3661450664782885,0.56
0.3835148318408097,0.59
0.38553061645324194,0.54
0.37990156718227264,0.52
0.3741240499399957,0.51
0.36454668512645405,0.51
0.3526595505137803,0.51
0.3395706758435876,0.49
0.3267830254485894,0.48
0.3140485031130066,0.47
0.30092647838937847,0.47
0.2879062976861231,0.47
0.2773692050857115,0.47
0.2664096544302582,0.46
0.25501702986784136,0.46
0.24362391233682196,0.45
0.23234769869589605,0.45
0.22747347266226717,0.44
0.2200678448485184,0.45
0.2118173593075012,0.44
0.2030282129300323,0.44
0.1942032897766649,0.44
0.18562957335148905,0.41
0.17727581213553534,0.4
0.16982241658749192,0.4
0.16245171795770158,0.4
0.15531966183875062,0.41
0.1509332088747779,0.4
0.14601359142464537,0.48
0.14021782053794646,0.41
0.138302792883167,0.41
0.1341176260639078,0.4
0.1291038021525507,0.4
0.12385443865948938,0.4
0.11859723294960299,0.4
0.12037812922642112,0.44
0.13097708721869966,0.51
0.15116358770948674,0.44
0.15675696754558988,0.4
0.18212192427618404,0.55
0.192017680240755,0.6
0.21622880826851748,0.45
0.2477248943340164,0.58
0.2624131783730901,0.52
0.266016606232733,0.47
0.26635457267134877,0.4
0.2776294264620808,0.5
0.28647862325850054,0.45
0.2856638199192958,0.46
0.30395843660268296,0.51
0.30654479572887605,0.41
0.3027303264338113,0.38
0.3141321974983404,0.41
0.31309496794144576,0.39
0.3069815858679904,0.37
0.30072265515076146,0.37
0.306892696066916,0.52
0.3049978951166231,0.39
0.29958205190352305,0.37
0.31192471382280007,0.39
0.34111439211630684,0.38
0.5058955797562968,0.85
0.4638081903680338,0.44
0.45119873062873633,0.39
0.43911880166136463,0.37
0.425956972242186,0.36
0.41186968651410205,0.35
0.4181482410773334,0.45
0.43860006763829296,0.42
0.43735074038077,0.38
0.4333747650767516,0.36
0.45180951140866304,1.09
0.4585399439512109,0.52
0.4790768842167607,0.5
0.5676811332288497,1.16
0.5498577789000725,0.61
0.5376881781875515,0.44
0.5251695737424876,0.44
0.510691190586671,0.4
0.49630117135702506,0.39
0.4796937685063064,0.37
0.46190932702772514,0.37
0.49814260276803196,0.48
0.5150646349043431,0.43
0.5216841390384059,0.41
0.5166933268193377,0.38
0.5049313073363135,0.37
0.5044041177060397,0.35
0.5161682575847828,0.56
0.5113175737680083,0.4
0.5303716041720113,0.57
0.5303289145264105,0.46
0.5223159117906861,0.4
0.5105557217021512,0.38
0.4951032265267223,0.37
0.4779611997331785,0.37
0.45998464263850397,0.35
0.44121761096703516,0.35
0.4224186498351277,0.35
0.42615309934568363,0.35
0.45106458368199537,0.42
0.45240039918413066,0.4
0.44545537655396655,0.37
0.4543485517145976,0.39
0.46124494975272107,0.39
0.4676703504075989,0.37
0.47284417659997174,0.4
0.4800010116364285,0.44
0.47353029335836216,0.38
0.4619919820560721,0.37
0.4589569758596105,0.35
0.44743508171435964,0.35
0.433319130101975,0.35
0.41788781058467445,0.34
0.4016352610317724,0.32
0.38493347435124914,0.32
0.36838237571400967,0.32
0.3521484806906605,0.32
0.3361655504423359,0.32
0.3206372407962377,0.32
0.31048585156927505,0.32
0.3722358716653548,0.45
0.35858797172835344,0.38
0.3492353021481997,0.35
0.3701770154358027,0.4
0.40431777327231805,0.47
0.41086381273090794,0.38
0.4077253468365447,0.36
0.4066487492123952,0.35
0.423219369012964,0.59
0.42143434182433104,0.45
0.4133952367460967,0.38
0.40224284669211197,0.37
0.3893565718146925,0.35
0.37555250993598144,0.35
0.36128538651010383,0.35
0.34621464881288144,0.35
0.33152991386431385,0.33
0.31802674180714263,0.32
0.3066257049217582,0.32
0.3016036261298113,0.32
0.2931516419263469,0.32
0.3582261914585438,0.36
0.6156680809246715,1.28
0.5112243269705531,0.76
0.4912154880683114,0.55
0.49776013891971693,0.51
0.5248412339151223,0.45
0.8840101136461682,0.9
0.9408560891466401,0.66
0.8019885836992,0.52
1.2565892179067815,0.63
1.2255839229669026,1.3
1.0280541890457644,0.82
0.9437258998275565,0.64
0.8862211220803292,0.56
0.8380741090741226,0.52
0.7948704674503116,0.48
0.8611540331175651,0.55
0.8200547580602022,0.59
0.8144486521673596,0.53
0.7925548034473107,0.65
0.7657412510518345,0.79
0.7339847831947457,0.7
0.7027467305254285,0.64
0.6732851665436552,0.6
0.639898493420362,0.58
0.6096130255856842,0.54
0.5821728146541987,0.52
0.5555768271993569,0.5
0.5298850005537996,0.47
0.5051538151104257,0.46
0.48139701495951603,0.61
0.8309783946728901,1.4
2.2336285397675177,5.5
1.5536786832732337,4.63
1.152681209689593,1.81
1.5857446075834982,2.82
1.9664208704502428,2.53
1.5811202539864255,1.69
1.2793609647915412,1.42
1.126346524696392,1.27
1.0206592410746382,1.19
0.9389165294997937,1.18
0.8716502905296155,1.13
0.8140966778380462,1.08
0.7635397241882493,1.48
0.9761486138714057,1.64
1.3179100942569075,2.4
1.4142364770769102,2.56
1.1526945789713596,2.05
1.0210035851936485,1.69
0.9354311601676646,1.47
0.8673398773398963,1.4
0.8147840433824648,1.35
0.7698165709388801,1.31
0.728954275214808,1.26
0.6912279056043267,1.2
0.6560525761835181,1.18
0.6230486105266242,1.18
0.5919533777216937,1.18
0.5625746556453736,1.18
0.5325994079964662,1.18
4.125009141381069,1.34
8.935450395032207,3.61
7.89030226087959,7.34
5.658384186722454,4.44
3.9015602554118605,3.16
2.986416703077805,2.49
3.106774552553803,2.55
7.19721561942559,11.19
5.098709241174095,9.53
3.7915807351267867,4.37
2.8728913411656025,3.23
2.341741763280721,2.76
1.9972692345709304,2.48
1.7649538689353927,2.57
1.574333153094289,2.29
1.388626629040977,2.11
1.2070183250922064,1.98
1.0831042397121826,1.86
0.9967914160055451,1.8
0.9295338462376238,1.87
0.8702909307379623,2.18
0.8112389593812362,1.93
0.7229100414767732,1.73
0.677338473006776,1.62
0.6415473632135621,1.55
0.6104986336072314,1.59
0.5810636349467828,1.39
0.552882091362928,1.46
0.5258190216422367,1.42
2.1706411777185948,1.38
2.4194900873470306,1.66
1.7427058826971216,1.53
1.3046370260450117,1.42
1.1271536599742198,1.36
1.0028626022755938,1.31
0.9347720620627025,1.25
1.3327524959128576,1.42
1.205492406721845,1.39
1.1581624957917067,1.8
1.0425378601010058,1.57
1.0064240741837946,1.43
0.9620430807213844,1.35
0.9216276307206421,1.27
0.9060735267348202,1.2
0.8639524055627366,1.16
0.8266320809090142,1.11
0.7946138663239848,1.1
0.7634712573417124,1.07
0.7317076450575414,1.01
0.7105597426425886,0.99
0.689471403276666,0.98
0.6918293071307577,0.98
0.7596699263887833,1.08
0.7302931837749044,0.96
0.7081620391148583,0.91
0.6840480707340275,0.9
0.6586937062426879,0.87
0.6327107264507801,0.86
0.6064051164721824,0.86
0.5803583851645058,0.84
0.554790986457847,0.79
