like1,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,chain
-32657.664,2.1449804,513.34454,0.46837163,0.20484501,0.17250305,0.7820859,6.164572,35.428833,-1.2901778,4.0644374,0.063361004,0.10477873,1.4372087,5.8019342,0.0
-32770.816,3.3951728,866.75964,0.3707397,0.37888548,0.09822925,0.30033275,7.5053873,63.012638,-1.9032401,6.421668,0.037961975,0.021414822,1.7700194,0.9239544,1.0
-33027.05,3.9856596,392.7071,0.5778991,0.072567746,0.15080434,0.5979892,2.3072238,23.808863,-0.08083484,5.279436,0.07442947,0.12970918,2.4933221,4.245833,2.0
-33050.38,2.7285714,656.77136,0.24500471,0.26026052,0.0442911,0.69275516,3.6405375,75.91044,1.2380807,2.8485744,0.050151877,0.17463022,0.7079014,2.605083,3.0
-32603.553,5.344637,164.71875,0.67762536,0.44527858,0.022441268,0.39321542,8.707002,49.85192,1.7913337,8.8555975,0.012352656,0.047269896,0.33858818,5.069046,4.0
-32346.178,1.5847859,767.8931,0.78824186,0.13865088,0.06878415,0.892938,4.8619704,12.480398,-0.64594793,1.749188,0.024697179,0.07484312,1.0435879,3.3946168,5.0
-32593.113,4.6927786,275.39832,0.14072587,0.3187503,0.121772714,0.4922651,1.1443088,87.521355,0.5744849,7.5114937,0.086983286,0.15023842,2.1389637,1.7580966,6.0
-32203.936,3.2208238,288.3432,0.30552036,0.3067909,0.13576265,0.7302935,5.87689,64.624664,0.26104006,5.4993505,0.06650942,0.14045422,0.88473135,6.032138,0.0
-33045.676,3.3951728,869.85095,0.3707397,0.37888548,0.09822925,0.4729185,9.809594,51.526913,-1.9032401,6.421668,0.037961975,0.020630635,1.7700194,2.2907836,1.0
-32973.27,3.9856596,459.1496,0.5778991,0.072567746,0.07014496,0.5979892,3.4487197,23.808863,1.1686499,5.279436,0.07442947,0.1238569,1.391366,4.245833,2.0
-33463.957,4.0256495,448.41336,0.17201251,0.34743738,0.06871083,0.51410484,2.062586,91.32355,1.7455225,5.322213,0.07898558,0.18923251,1.1990713,1.9066902,3.0
-32379.6,5.5379686,132.89514,0.6162133,0.46115685,0.033672016,0.25752336,8.11043,54.881527,1.5234075,8.688572,0.026427906,0.020625576,0.98024535,3.6310747,4.0
-32270.363,1.5847859,729.107,0.6295919,0.13865088,0.108789064,0.92007905,4.8619704,12.480398,-2.1569073,1.749188,0.031558685,0.07534042,1.0435879,3.3946168,5.0
-32553.21,4.6927786,275.39832,0.14072587,0.39489552,0.121772714,0.4922651,1.1443088,87.521355,0.5744849,7.5114937,0.086983286,0.15023842,2.1389637,1.7048775,6.0
-32630.025,3.2208238,314.41138,0.16445304,0.3067909,0.17299202,0.7302935,5.87689,64.624664,-0.01200791,7.4511333,0.06650942,0.14954533,1.8400401,5.083216,0.0
-33095.633,2.6437178,866.75964,0.27190143,0.37888548,0.09215174,0.30033275,7.5053873,63.012638,-0.8308637,4.737716,0.037961975,0.021414822,1.7700194,2.636831,1.0
-32829.324,2.4780939,872.2393,0.62401557,0.05317272,0.059845548,0.70137423,3.6613855,9.555553,-0.21311353,2.7582874,0.058760114,0.112738036,1.2768527,3.0588317,2.0
-33157.555,3.7557068,394.47852,0.061951704,0.41382757,0.07459026,0.6073752,2.4975498,89.35899,1.6087538,4.8272743,0.0637628,0.19171341,1.114254,2.0279927,3.0
-32706.646,4.5656877,132.89514,0.6162133,0.27510276,0.033672016,0.43259922,9.056925,54.881527,1.5234075,8.688572,0.026427906,0.020625576,1.6596285,3.485457,4.0
-32187.555,1.047939,733.4597,0.6295919,0.14699465,0.108789064,0.92007905,2.193854,27.63921,-2.1569073,1.749188,0.031558685,0.07534042,1.0435879,3.3946168,5.0
-33061.203,4.6927786,275.39832,0.14072587,0.39489552,0.121772714,0.999,8.962601,28.10422,1.5602485,3.727958,0.04270685,0.15023842,2.1389637,4.0806904,6.0
-32583.998,2.6383994,492.92532,0.30552036,0.3067909,0.13576265,0.61574787,5.87689,64.624664,0.26104006,5.4993505,0.03862873,0.14045422,0.88473135,5.334251,0.0
-32958.105,1.7800766,969.1004,0.32245559,0.33095735,0.117969885,0.5140684,7.181794,67.24055,-2.3500233,3.9472632,0.031868823,0.050300404,1.3392705,1.84805,1.0
-33392.7,3.138464,966.2178,0.6642156,0.12111184,0.013623897,0.45240873,6.27685,12.995029,0.38930556,3.51115,0.040250372,0.070898786,1.1304101,2.1115944,2.0
