q_sim,q_obs
0.00021521067412102356,29.07
0.25549867444148733,21.63
0.25686937610113003,11.63
0.23497723327711603,7.81
0.21224833603671608,6.62
0.36349357878996663,9.87
2.038661851909926,14.64
1.8669057007123442,12.33
1.6115519979580897,8.37
1.8274150797048916,8.36
1.685790805945273,8.96
1.5243144992847746,8.53
4.336138559214209,20.1
2.783667063279887,10.76
2.3997205124593397,7.66
2.1486971245141167,6.96
1.9344559602779046,7.26
2.640693515629472,6.93
2.3239286927595506,7.47
3.4718316525580595,14.18
4.293145688153913,15.22
5.63931456357978,11.95
7.95377280404603,11.77
6.216567265936501,9.57
7.916295124208214,14.25
5.812574533181042,11.44
4.778274501363196,7.79
4.72668873533976,7.43
4.317832384486699,7.44
3.909142382313461,7.1
3.5902776521903763,6.96
5.551797210956036,10.91
6.298988270860695,9.26
4.645885349214626,8.21
6.62954828673968,10.73
10.610649076966506,22.11
12.701580283591596,21.02
8.951994442627003,17.23
6.295543856605602,8.63
5.318118366560976,7.35
4.750185191365338,7.15
5.687653659826917,7.24
4.8767658465490324,7.99
4.406464944817502,6.79
4.281028374533405,6.86
3.8903359521263594,6.83
3.5165971430044367,6.75
3.171173922533615,6.68
2.858080528691109,6.5
2.5757035440422036,6.81
2.3211980940929164,6.71
2.091836411186622,6.72
1.885137779049168,6.62
1.6988633739796868,6.43
1.5309951190808262,6.27
1.3797142766885777,4.27
1.3294046502025532,4.13
1.4812423697603343,4.2
1.6092482853210441,2.67
1.6190525117008796,4.71
1.4774970566423804,3.8
1.3339568595955313,3.03
1.2024930377130862,3.46
1.5037117176883443,3.42
2.740390596353771,4.98
2.4161268409354,5.49
2.366888117499176,4.88
4.4097265249151345,6.24
3.4216380558504826,7.35
3.1440608908492824,5.72
2.988359797226843,5.23
2.82344351409926,5.12
2.900005532553817,4.31
2.986184339455124,4.82
3.0632761941052147,4.67
3.6725590978965026,4.77
3.609963375532398,5.24
3.577276127791671,5.3
3.4027015158893072,5.38
3.0861104911265156,4.94
2.7837863757639663,4.56
3.297420748433955,5.39
5.0107009379941685,9.06
4.105628424528746,7.74
3.869341571690848,6.3
3.796822088723885,6.56
3.455090249530602,6.43
3.1303349576079933,5.81
2.822914598360766,6.15
2.5442335464396684,5.6
2.324288390562943,4.01
2.0979015331688777,3.78
1.9031037711446364,1.83
1.7308836877394467,2.37
1.5696615276619978,2.99
1.6419951227031588,3.58
1.601370409441197,1.44
1.4574945820988279,1.67
1.3173282623058924,2.08
1.342828822659824,2.64
1.2935387605026911,2.14
1.174853119696783,2.38
1.0599803450956005,1.3
0.9554136536875364,1.25
0.86103232953238,1.15
0.7763224658836865,1.36
0.7003420761706822,1.09
0.6364194691125202,1.04
0.5746985698459067,1.59
0.520365901373673,2.49
0.5120495539831459,2.82
0.46595362274197066,2.0
0.42050217299441517,2.25
0.4643654013433539,1.41
0.5150248849480988,0.97
0.6296217794666419,1.03
0.7257674909549761,1.12
0.9682812992861388,1.18
0.9803718116339073,1.51
0.9597531775321324,1.74
1.0304741034279177,1.04
1.2738500383505802,1.39
1.3277080164053245,1.12
1.2740329679542,1.77
1.4580602653773147,1.18
1.6246330293954176,1.51
1.6447741305546855,1.08
1.5183096461184056,1.1
1.3825922706104183,1.18
1.247611167508734,1.06
1.1398571463710865,1.03
1.1078920463528643,1.61
1.1388462352818642,1.45
1.0423050524323099,1.7
0.9591139489659075,1.67
0.8702165787865958,0.99
0.8391236868276796,1.59
0.8778192333757817,1.8
0.8192078211736876,1.35
0.7488981507671383,1.01
0.8087294523084315,2.17
0.8130975959686966,2.07
0.9235894623108519,1.34
1.099755119876108,1.11
1.2955828025304763,1.02
1.579021656063125,1.08
1.5719511863031774,1.0
1.493819155191985,1.03
1.3613625668479166,0.98
1.5756045993791705,1.0
1.5098162126841943,1.22
1.6637977660417382,2.19
1.754962325497105,2.22
1.9804614804865566,2.34
2.2000397813471078,1.81
2.492335665232337,2.49
2.320941325389574,3.13
2.614103902172931,3.42
2.9208256341982883,4.32
2.937862641440853,3.88
2.946070255826231,4.0
2.709886457460626,3.23
3.0876048598137085,2.15
2.984184567934261,1.89
3.232315207197294,3.28
3.3126581604442533,3.29
3.1941525496879986,1.17
2.9300915897864743,1.1
2.729597174954546,3.15
2.547588203738388,2.45
2.307196341775949,1.35
2.10149252402239,2.0
1.9254201863898412,2.0
1.8032242961106386,2.06
1.6885158499835022,1.73
1.6003847228059773,2.22
1.4550290313557,1.37
1.313511053875624,1.55
1.2372638933357187,1.68
1.2051809967264626,1.13
1.2971259893871523,1.03
1.407353799593497,1.07
1.4503017501949536,1.61
1.4552204762575172,1.54
1.585574253155576,1.23
1.6685900152868505,0.98
1.5656479725265267,0.97
1.4697965605850671,1.06
1.3642575301500277,2.02
1.3938870918050077,1.92
1.5130145976272227,2.77
1.4575862645127093,2.93
1.3955360273194768,1.45
1.3448247129513788,1.95
1.3095052519953105,1.94
1.6623415688234418,1.9
1.9855597823704965,2.1
1.8643855207754698,2.18
1.7802859844409016,1.97
1.6634944718918823,1.98
1.5911918189557457,1.86
1.5925167433362846,1.94
1.5244142616670984,2.12
1.3934275263117715,1.83
1.317405490685119,1.7
1.1987824107778589,1.69
1.095032687444026,1.76
1.1621724736087304,1.9
1.0788296398393973,1.38
0.978456188734416,1.23
0.887083817060601,1.57
0.8079349795870435,1.75
0.8071165034043224,1.37
0.8660155919010755,1.62
0.8096091478996206,1.92
0.7704416446232892,1.99
0.699527533128599,1.83
0.6316090765321466,1.99
0.6794493293630997,1.02
0.6478460835114577,1.44
0.6211671274263821,1.87
0.633285589572323,1.95
0.8989164655450919,2.27
0.8966802071008804,1.83
0.8573615863524127,1.23
1.1677585981358682,1.53
1.117563383392648,1.47
1.2025234586102653,1.72
1.26464506209664,1.65
1.7437609002565526,3.26
1.737628617520943,3.28
1.6620819368651591,2.51
1.5550975673973806,2.14
1.4086521864278658,1.67
1.4249896417126646,2.4
1.3288608805779698,2.19
1.2065189904015572,1.5
1.1070823142666388,1.92
1.0062754493089998,1.97
0.9351549302089471,1.56
0.8461157803766595,1.01
0.7636701078202603,2.29
0.6897311571137298,1.84
0.6227310030593467,1.58
0.6226578703911952,1.47
0.9897695719963324,1.39
0.982580469884741,1.19
0.9009018242719801,1.26
0.8339711337526645,1.11
0.8874929368260359,1.67
1.084787934318246,1.63
1.2639268597730324,1.11
1.273424957812448,0.94
1.1899109828831624,1.04
1.0775943985120005,1.63
1.2260919137449868,1.67
1.4392726216205136,2.33
1.3362860153158598,1.85
1.600175209924601,1.83
2.2603003583581254,2.82
2.1559629120701347,3.49
7.90690266543462,12.91
9.38527811929445,9.55
7.025785505234965,6.91
6.45676027962792,6.63
4.916208606496795,6.4
4.128833770527237,6.33
5.792214933975516,9.86
7.751171001709231,12.51
7.093158847990647,9.48
5.489415491080415,7.36
6.188789208304761,6.25
5.560451502677121,7.18
6.410292334085496,7.0
8.79807720374789,16.68
8.886957422309598,15.53
6.677370373163763,7.23
6.046844946967537,6.1
5.733579555862704,6.06
5.4769424361028785,6.21
6.395881296447883,7.43
7.360481103271613,10.87
7.750114372727749,13.69
7.964661492488729,11.62
6.782694787066026,11.13
5.921593072924858,7.92
5.545479044812987,8.11
5.17729211694045,8.27
4.686468042973898,7.34
5.403601402400682,7.64
5.065637637866641,8.64
5.0635305944553775,7.84
5.11592283395138,7.24
4.6992760738183055,7.54
4.398136539900279,7.18
4.164838586792625,6.82
3.7821586048006623,6.61
3.602435823679564,6.89
3.4558814326758838,7.07
3.499209882867235,7.3
3.4378304954177197,7.26
3.3770193638608283,7.27
4.155995855963219,7.88
4.116213813300118,7.69
4.005893053386688,7.34
4.77288760006487,8.8
4.594744591158692,8.55
4.179817746333014,7.25
3.7719386116030162,7.04
3.4101410251635462,6.74
3.248640229323259,6.63
3.9705290314441366,6.78
6.558717431163437,6.82
5.517395132472001,6.96
4.721003682581757,6.29
4.758835207673242,7.85
4.379401687273603,7.15
4.653454545860346,6.98
4.48744252552572,6.23
4.594732519615001,6.58
4.520333552102673,7.0
4.400956291763078,7.65
7.717929946351782,15.63
7.073724398190272,12.49
13.085025884528385,23.1
9.886175850331329,17.68
7.039970850329947,9.68
5.5579268432408435,8.2
19.460103470973184,27.03
16.215775008800144,26.58
9.56162439585026,12.62
8.617505321055791,8.88
9.09669293686011,20.08
6.828797451356046,11.25
5.906191880144051,9.52
7.597245754868562,13.69
6.2332226649543045,14.82
5.810506161181481,9.07
5.449651873574106,7.87
4.933856944956514,7.39
4.449327252860476,6.73
4.01010153688267,7.01
3.613916268976913,6.44
3.256826692776386,6.95
2.9350141703129506,6.44
2.6449994629121347,6.56
2.3836415429352713,6.6
2.148108921251083,6.38
1.935849768456007,6.44
1.744564387665079,6.82
1.5721803169517556,4.64
1.4168298782579951,3.59
1.2768299426449554,4.33
1.1506636946693276,4.39
1.0369641986052924,5.93
0.9344995885162863,6.03
0.8421597217258563,6.32
0.7589441510867088,5.96
0.6839512857351138,6.03
0.7728991747900498,3.67
0.712846271680266,4.22
0.6445479239198513,4.17
1.1403662282026221,3.08
1.4230656329131954,4.57
1.3252368220932436,3.92
1.623671012335247,4.59
1.5082074954584443,4.94
1.3650864238459768,5.18
1.2310293689788312,4.22
1.109509264614731,3.61
0.999894161319757,2.69
0.9010951944556129,6.07
0.812056490883301,3.9
0.7318155454119843,3.68
0.6595033240137127,3.8
0.5943364170663032,3.01
0.5356087878142792,3.85
0.9823977767978814,4.37
0.9374219774500541,4.09
1.2585427296309761,3.1
1.6605887425774306,4.7
2.2994999579384743,5.38
2.745195313237945,6.26
3.189218031231794,5.58
3.5875244936021904,4.99
5.19605177686394,5.06
4.797620511941117,5.24
4.713772796977629,5.11
9.109674402605616,6.67
8.64080553670879,7.09
6.269305945370464,6.45
8.69416050971015,8.24
15.5223995781269,20.14
24.182966841462722,29.6
10.964543111539617,13.31
7.775058260111195,7.76
6.164128907125471,7.41
5.459324016379223,6.61
4.9216925440900665,6.81
4.900096577752438,6.72
5.1020370030592925,6.68
5.745161258568225,6.9
7.064022738383897,7.08
5.83219103040702,7.49
5.237776056283304,6.76
5.234997150480601,7.29
5.2992874346822365,6.67
5.326201943924111,7.41
4.964862606509759,7.05
4.493139053773403,6.78
4.051713950966721,6.4
3.6517193797556735,6.06
3.3349197507888935,6.24
3.0146509005160254,5.19
2.7224574899491745,5.18
2.5181250592436815,4.76
2.279016230735427,2.93
2.1301460285718345,2.21
2.0517658305236086,2.38
2.1100682761766674,1.09
3.3637992792105336,4.0
3.034903199450508,5.4
3.7320908555781522,5.7
5.2667839894007065,5.34
