gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
camelslx_001,49.526477,6.114957,Alzette1_Livange,Luxemburg,258.34
camelslx_002,49.586287,6.14908,Alzette2_Hesperange,Luxemburg,317.78
camelslx_003,49.620647,6.132266,Alzette3_Pfaffenthal,Luxemburg,388.96
camelslx_004,49.69895,6.13361,Alzette4_Hunsdorf,Luxemburg,441.91
camelslx_005,49.753068,6.115991,Alzette5_Mersch,Luxemburg,736.86
camelslx_006,49.8448,6.098584,Alzette6_Ettelbruck,Luxemburg,1118.33
camelslx_007,49.774226,5.925732,Attert1_Reichlange,Luxemburg,159.49
camelslx_008,49.770335,5.985998,Attert2_Useldange,Luxemburg,247.5
camelslx_009,49.784853,6.056414,Attert3_Bissen,Luxemburg,289.29
camelslx_010,49.531667,6.119773,Bibeschbach_Livange,Luxemburg,10.63
camelslx_011,49.952417,6.021154,Clerve2_Kautenbach,Luxemburg,230.91
camelslx_012,49.586287,6.14908,Drosbech_Hesperange,Luxemburg,10.51
camelslx_013,49.508908,6.097123,Dudelingerbach_Bettembourg,Luxemburg,46.87
camelslx_014,49.650346,5.937105,Eisch1_Hagen,Luxemburg,50.96
camelslx_015,49.729184,6.079524,Eisch2_Hunnebour,Luxemburg,167.0
camelslx_016,49.970411,6.322601,Enz_Sinspelt,Luxemburg,101.43
camelslx_017,49.71825,5.905708,Huewelerbach_Huewelerbach,Luxemburg,2.66
camelslx_018,49.992541,6.154194,Irsen_Gemund,Luxemburg,125.35
camelslx_019,49.500286,6.052986,Kaylbach_Kayl,Luxemburg,75.21
camelslx_020,49.965897,5.968539,Kirel_Merkholtz,Luxemburg,66.88
camelslx_021,49.623206,6.023054,Mamer1_Mamer,Luxemburg,17.93
camelslx_022,49.723112,6.100795,Mamer2_Schoenfels,Luxemburg,81.65
camelslx_023,49.518907,6.061947,Mierbech_Huncherange,Luxemburg,6.8
camelslx_024,50.174633,6.454355,Nims1_Giesdorf,Luxemburg,16.69
camelslx_025,50.014645,7.060453,Nims2_Seffern,Luxemburg,137.1
camelslx_026,49.883608,6.462262,Nims3_Alsdorf-Oberecken,Luxemburg,264.21
camelslx_027,50.049832,6.126077,Our1_Dasbourg,Luxemburg,447.93
camelslx_028,49.985333,6.1715,Our2_Gemund,Luxemburg,612.05
camelslx_029,49.939224,6.204738,Our3_Vianden,Luxemburg,636.88
camelslx_030,49.754673,5.91413,Pall_Niederpallen,Luxemburg,32.97
camelslx_031,49.606702,6.132359,Petrusse_Luxembourg,Luxemburg,44.58
camelslx_032,50.21939,6.439864,Prum1_Prum2,Luxemburg,53.12
camelslx_033,50.022304,6.418312,Prum2_Echtershausen,Luxemburg,325.58
camelslx_034,49.866647,6.437269,Prum3_Prumzurlay,Luxemburg,575.71
camelslx_035,49.785259,5.935675,Roudbach_Platen,Luxemburg,43.96
camelslx_036,49.598469,6.115696,Ruisseau-de-Cessange_Cessange,Luxemburg,13.69
camelslx_037,49.768578,5.819138,Ruisseau-de-Colpach_Colpach,Luxemburg,18.96
camelslx_038,49.59941,6.109055,Ruisseau-de-Merl_Merl,Luxemburg,26.79
camelslx_039,49.76472,5.977705,Schwebich_Useldange,Luxemburg,30.13
camelslx_040,49.869821,5.801399,Sure1_Bigonville,Luxemburg,308.35
camelslx_041,49.901196,5.950724,Sure2_Heiderscheidergrund,Luxemburg,429.91
camelslx_042,49.895421,6.091178,Sure3_Michelau,Luxemburg,946.48
camelslx_043,49.866622,6.161813,Sure4_Diekirch,Luxemburg,2176.73
camelslx_044,49.850919,6.359193,Sure5_Bollendorf,Luxemburg,3243.51
camelslx_045,49.785883,6.509851,Sure7_Rosport,Luxemburg,4256.62
camelslx_046,49.701803,6.4738,Syre_Mertert,Luxemburg,201.64
camelslx_047,49.855534,6.052637,Wark1_Niederfeulen,Luxemburg,57.4
camelslx_048,49.883032,6.047939,Wark2_Welscheid,Luxemburg,64.33
camelslx_049,49.850643,6.09738,Wark3_Ettelbruck,Luxemburg,81.35
camelslx_050,49.828415,5.797152,Weierbach_Weierbach,Luxemburg,0.46
camelslx_051,49.967894,5.890266,Wiltz1_Winseler,Luxemburg,103.87
camelslx_052,49.946524,6.025045,Wiltz2_Kautenbach,Luxemburg,427.94
camelslx_053,49.764402,5.975416,Wollefsbach_Useldange,Luxemburg,4.44
camelslx_054,49.557468,6.352567,Aalbach_Bous,Luxemburg,40.87
camelslx_055,49.791584,6.219358,Ernz Blanche_Larochette,Luxemburg,69.31
camelslx_056,49.820722,6.321401,Hallerbach_Hallerbach,Luxemburg,19.4
