gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
GRDC_1159100,-28.7563,17.7188,"ORANGE RIVER, VIOOLSDRIF (27811003)",South Africa,786037.238695912
GRDC_1159103,-28.9604,19.1521,"ORANGE RIVER, PELLA MISSION",South Africa,764465.717680623
GRDC_1159105,-28.0771,16.8979,"ORANGE RIVER, SENDELINGSDRIF",South Africa,881178.214620492
GRDC_1159110,-31.803,20.356,"VISRIVIER-OOS, HARDEHEUWEL (27814003)",South Africa,1496.14091888198
GRDC_1159120,-31.822,20.578,"RENOSTERRIVIER, BONEKRAAL (27814011)",South Africa,1666.59062903599
GRDC_1159125,-31.4312,20.4729,"RENOSTERRIVIER, LEEUWENKUIL",South Africa,8923.99302635022
GRDC_1159130,-30.468,20.513,"SAK, HOL PADS LEEGTE (27814016)",South Africa,37845.1984804379
GRDC_1159131,-31.3646,21.3229,"SAK, WINDHOEK (27814013)",South Africa,13054.8158904077
GRDC_1159290,-28.7688,20.7229,"ORANGE RIVER, KAKAMAS SOUTH NEUSBERG",South Africa,346731.961448247
GRDC_1159300,-28.4646,21.2437,"ORANGE RIVER, UPINGTON",South Africa,342567.449638247
GRDC_1159301,-29.6562,22.7437,"ORANGE RIVER, PRIESKA (27815102)",South Africa,320560.184561054
GRDC_1159302,-29.156,23.689,"ORANGE RIVER, MARKSDRIFT (27815208)",South Africa,97005.5363328845
GRDC_1159304,-29.1812,23.5729,"ORANGE RIVER, IRENE",South Africa,282905.12007692
GRDC_1159305,-30.5354,24.9604,"SEEKOEIRIVIER, DE EERSTEPOORT",South Africa,8190.95358035607
GRDC_1159310,-29.1438,26.3188,"RENOSTERSPRUIT, SHANNON VALLEY (27817207)",South Africa,338.364997607828
GRDC_1159320,-29.6562,25.9771,"RIET, KROMDRAAI (27817212)",South Africa,2378.08648462918
GRDC_1159321,-29.8104,26.2104,"RIET, RIVIERA (27817208)",South Africa,601.134860584799
GRDC_1159325,-29.9021,26.2146,"OSPOORTSPRUIT, OS POORT (27817209)",South Africa,196.566124669327
GRDC_1159330,-29.0396,24.5979,"RIET, KLIPDRIFT",South Africa,25538.5871271011
GRDC_1159333,-29.1604,26.5729,"MODDER, LIKATLONG",South Africa,1873.45933726172
GRDC_1159335,-29.0354,24.6438,"MODDER, TWEERIVIERE",South Africa,12888.4122246278
GRDC_1159337,-28.9479,26.3188,"MODDER, GLEN",South Africa,4573.59672153915
GRDC_1159400,-27.57,24.741,"HARTS, TAUNG (27817303)",South Africa,11207.2724579467
GRDC_1159403,-27.9021,24.6146,"HARTS, ESPAGSDRIF",South Africa,24474.7979402021
GRDC_1159405,-28.3854,24.2979,"HARTS, LLOYDS",South Africa,31036.5467838346
GRDC_1159410,-27.8438,25.9021,"VETRIVIER, FLOORSDRIFT (27817502)",South Africa,17137.8023614413
GRDC_1159413,-27.9396,26.1187,"VETRIVIER, FIZANTKRAAL",South Africa,15895.9551195297
GRDC_1159415,-28.1438,26.4146,"VETRIVIER, VAALKOPPIES",South Africa,7026.52817351504
GRDC_1159417,-28.1187,26.7188,"SANDRIVIER, BLOUDRIF",South Africa,7107.51521250669
GRDC_1159419,-28.1187,26.7271,"DORINGRIVIER, MOND VAN DOORN RIVER",South Africa,591.347818146706
GRDC_1159450,-28.7104,24.0729,"VAAL RIVER, SCHMIDTSDRIF",South Africa,152687.400369953
GRDC_1159490,-28.5146,24.6021,"VAAL RIVER, DE HOOP 65",South Africa,116270.792769249
GRDC_1159500,-28.4979,24.6062,"VAAL RIVER, DE HOOP 65",South Africa,116220.034447757
GRDC_1159510,-27.401,26.604,"VALSRIVIER, GROOTDRAAI (27817602)",South Africa,7803.15051406898
GRDC_1159511,-27.3979,26.6271,"VALSRIVIER, MOOIFONTEIN (27817603)",South Africa,7798.00547680109
GRDC_1159512,-27.9354,27.9937,"VALSRIVIER, KLIPFONTEIN (27817604)",South Africa,860.47554099595
GRDC_1159513,-27.6729,27.2354,"VALSRIVIER, KROONSTAD",South Africa,3563.87838644397
GRDC_1159520,-27.356,27.292,"HEUNINGSPRUIT, DANKBAAR (27817703)",South Africa,909.838229140784
GRDC_1159525,-27.0479,27.0063,"RENOSTERRIVIER, ARRIESRUST",South Africa,5740.62732082681
GRDC_1159530,-27.3687,26.3521,"LEEWDORINGSPRUIT, KLIPSPRUIT (27817465)",South Africa,894.684384283613
GRDC_1159535,-27.3896,26.4646,"VAAL RIVER, KLIPPLAATDRIFT",South Africa,80192.166675224
GRDC_1159540,-27.5604,26.2312,"SANDSPRUIT, LEEGTE (27817467)",South Africa,1374.45587427338
GRDC_1159545,-27.0104,26.6979,"VAAL RIVER, PILGRIMS ESTATE",South Africa,63625.0339926033
GRDC_1159546,-26.9146,26.8188,"KOEKEMOERSPRUIT, BUFFELSFONTEIN",South Africa,816.575709637376
GRDC_1159547,-26.8813,26.9604,"MOOIRIVIER, HOOGEKRAAL",South Africa,5750.08914024834
GRDC_1159548,-26.6438,27.0896,"MOOIRIVIER, WITRAND",South Africa,3835.03906068923
GRDC_1159549,-26.3687,27.2479,"MOOIRIVIERLOOP, BLAAUWBANK",South Africa,1529.60591101279
GRDC_1159550,-26.9688,27.2104,"VAAL RIVER, DE VAAL",South Africa,49211.6240463992
GRDC_1159555,-26.7396,27.5896,"VAAL RIVER, WOODLANDS",South Africa,47286.6281098935
