gauge_id,national_station_id
GRDC_1159100,D8H003
GRDC_1159103,D8H008
GRDC_1159105,D8H015
GRDC_1159110,D5H003
GRDC_1159120,D5H011
GRDC_1159125,D5H017
GRDC_1159130,D5H016
GRDC_1159131,D5H013
GRDC_1159290,D7H014
GRDC_1159300,D7H005
GRDC_1159301,D7H002
GRDC_1159302,D3H008
GRDC_1159304,D7H012
GRDC_1159305,D3H015
GRDC_1159310,C5H007
GRDC_1159320,C5H012
GRDC_1159321,C5H008
GRDC_1159325,C5H009
GRDC_1159330,C5H014
GRDC_1159333,C5H003
GRDC_1159335,C5H035
GRDC_1159337,C5H053
GRDC_1159400,C3H003
GRDC_1159403,C3H007
GRDC_1159405,C3H016
GRDC_1159410,C4H002
GRDC_1159413,C4H004
GRDC_1159415,C4H015
GRDC_1159417,C4H016
GRDC_1159419,C4H017
GRDC_1159450,C9H024
GRDC_1159490,C9H009
GRDC_1159500,C9H005
GRDC_1159510,C6H002
GRDC_1159511,C6H003
GRDC_1159512,C6H004
GRDC_1159513,C6H007
GRDC_1159520,C7H003
GRDC_1159525,C7H006
GRDC_1159530,C2H065
GRDC_1159535,C2H061
GRDC_1159540,C2H067
GRDC_1159545,C2H007
GRDC_1159546,C2H139
GRDC_1159547,C2H085
GRDC_1159548,C2H001
GRDC_1159549,C2H069
GRDC_1159550,C2H018
GRDC_1159555,C2H140
GRDC_1159560,C2H005
GRDC_1159570,C2H071
GRDC_1159580,C2H004
GRDC_1159600,D1M01A
GRDC_1159601,D1H001
GRDC_1159650,D1H003
GRDC_1159651,D1H009
GRDC_1159653,D1H006
GRDC_1159655,D1H035
GRDC_1159660,D1H011
GRDC_1159670,D2H012
GRDC_1159673,D2H035
GRDC_1159675,D2H022
GRDC_1159800,C2H003
GRDC_1159805,C8H001
GRDC_1159810,C8H022
GRDC_1159811,C8H026
GRDC_1159813,C8H027
GRDC_1159815,C8H028
GRDC_1159820,C8H003
GRDC_1159825,C8H012
GRDC_1159830,C8H005
GRDC_1159850,C2H028
GRDC_1159855,C2H027
GRDC_1159860,C2H026
GRDC_1159880,C1H012
GRDC_1159890,C1H007
GRDC_1159900,C1H002
GRDC_1159910,C1H008
GRDC_1160091,E1H013
GRDC_1160095,E1H018
GRDC_1160100,H6H003
GRDC_1160101,H6H008
GRDC_1160102,H6H009
GRDC_1160113,G4H007
GRDC_1160115,G4H006
GRDC_1160120,G5H008
GRDC_1160200,F5H001
GRDC_1160210,G2H008
GRDC_1160220,E2H007
GRDC_1160230,E1H006
GRDC_1160235,E2H003
GRDC_1160240,G1H021
GRDC_1160245,G1H028
GRDC_1160250,G2H012
GRDC_1160255,G2H013
GRDC_1160256,G2H042
GRDC_1160257,G2H018
GRDC_1160260,G1H007
GRDC_1160263,G1H020
GRDC_1160265,G1H008
GRDC_1160266,G1H013
GRDC_1160270,G1H012
GRDC_1160271,G1H011
GRDC_1160275,G1H010
GRDC_1160276,G1H009
GRDC_1160290,G1H019
GRDC_1160295,G1H003
GRDC_1160300,H1H003
GRDC_1160301,H1H006
GRDC_1160303,H5H004
GRDC_1160304,H4H017
GRDC_1160305,H7H006
GRDC_1160310,H1H013
GRDC_1160315,H2H005
GRDC_1160317,H1H007
GRDC_1160318,H1H012
GRDC_1160320,E2H002
GRDC_1160324,H4H005
GRDC_1160325,H4H009
GRDC_1160327,H4H012
GRDC_1160328,H6H010
GRDC_1160330,G3H001
GRDC_1160331,H6H006
GRDC_1160332,H6H007
GRDC_1160340,H2H001
GRDC_1160341,H3H011
GRDC_1160345,H3H005
GRDC_1160346,H3H004
GRDC_1160347,H4H008
GRDC_1160348,H4H007
GRDC_1160350,J1H010
GRDC_1160351,K3H005
GRDC_1160352,J1H018
GRDC_1160353,J1H019
GRDC_1160360,J1H015
GRDC_1160361,J1H016
GRDC_1160365,J2H005
GRDC_1160367,J2H006
GRDC_1160368,J2H007
GRDC_1160370,J4H003
GRDC_1160373,J4H002
GRDC_1160375,J4H004
GRDC_1160378,J2H016
GRDC_1160380,J3H004
GRDC_1160385,J3H016
GRDC_1160390,J3H012
GRDC_1160391,J3H011
GRDC_1160393,J3H017
GRDC_1160395,J3H013
GRDC_1160396,J3H018
GRDC_1160398,J3H020
GRDC_1160400,K3H003
GRDC_1160403,K2H002
GRDC_1160405,K3H004
GRDC_1160415,K1H001
GRDC_1160417,K1H004
GRDC_1160419,K1H005
GRDC_1160420,K3H001
GRDC_1160425,K4H003
GRDC_1160427,K4H002
GRDC_1160430,K5H002
GRDC_1160435,K5H001
GRDC_1160441,K6H001
GRDC_1160443,K6H019
GRDC_1160450,L8H002
GRDC_1160453,L8H005
GRDC_1160455,K7H001
GRDC_1160456,K8H001
GRDC_1160457,L8H001
GRDC_1160458,K8H006
GRDC_1160459,K8H005
GRDC_1160460,L7H006
GRDC_1160470,L6H001
GRDC_1160480,L1H001
GRDC_1160481,L1H002
GRDC_1160485,M1H012
GRDC_1160487,M1H004
GRDC_1160490,N3H002
GRDC_1160493,N2H007
GRDC_1160495,N2H009
GRDC_1160500,P1H003
GRDC_1160505,P3H001
GRDC_1160510,Q9H012
GRDC_1160511,Q1H001
GRDC_1160512,Q2H002
GRDC_1160520,Q1H012
GRDC_1160523,Q1H013
GRDC_1160525,Q3H004
GRDC_1160527,Q8H008
GRDC_1160528,Q3H005
GRDC_1160529,Q4H013
GRDC_1160530,Q6H003
GRDC_1160533,Q7H005
GRDC_1160535,Q4H003
GRDC_1160537,Q9H029
GRDC_1160540,Q9H013
GRDC_1160545,P4H001
GRDC_1160550,S3H005
GRDC_1160580,Q9H018
GRDC_1160600,R1H015
GRDC_1160601,R1H013
GRDC_1160602,R1H005
GRDC_1160605,R1H006
GRDC_1160607,R1H007
GRDC_1160610,R2H006
GRDC_1160611,R2H009
GRDC_1160612,R2H012
GRDC_1160615,R2H008
GRDC_1160617,R2H027
GRDC_1160620,R1H001
GRDC_1160621,R1H014
GRDC_1160625,Q9H017
GRDC_1160630,Q9H002
GRDC_1160631,Q9H016
GRDC_1160635,Q9H019
GRDC_1160640,R2H005
GRDC_1160641,R2H001
GRDC_1160650,T4H001
GRDC_1160660,R3H001
GRDC_1160670,S6H002
GRDC_1160671,S6H001
GRDC_1160675,S6H003
GRDC_1160680,T5H004
GRDC_1160682,T5H007
GRDC_1160684,S7H004
GRDC_1160685,T5H003
GRDC_1160687,T5H005
GRDC_1160688,T5H002
GRDC_1160690,S3H004
GRDC_1160693,S3H013
GRDC_1160695,S5H002
GRDC_1160700,U1H005
GRDC_1160701,U1H006
GRDC_1160703,U1H009
GRDC_1160704,U6H003
GRDC_1160705,U7H007
GRDC_1160708,U7H001
GRDC_1160709,U6H002
GRDC_1160710,U2H007
GRDC_1160715,U2H006
GRDC_1160717,U2H012
GRDC_1160720,U2H013
GRDC_1160721,U2H001
GRDC_1160723,U2H041
GRDC_1160725,U2H055
GRDC_1160730,S3H006
GRDC_1160731,S3H002
GRDC_1160740,T1H004
GRDC_1160743,T1H013
GRDC_1160745,T1H001
GRDC_1160750,V2H004
GRDC_1160751,V2H001
GRDC_1160752,V2H005
GRDC_1160755,V2H006
GRDC_1160756,V2H007
GRDC_1160760,T2H002
GRDC_1160763,T3H006
GRDC_1160765,T3H009
GRDC_1160770,T3H005
GRDC_1160773,T3H007
GRDC_1160774,T3H019
GRDC_1160775,T3H008
GRDC_1160777,T3H020
GRDC_1160780,T6H001
GRDC_1160785,T3H004
GRDC_1160788,U2H054
GRDC_1160790,U4H002
GRDC_1160793,U4H003
GRDC_1160795,U3H001
GRDC_1160798,U3H002
GRDC_1160800,V3H005
GRDC_1160810,V6H003
GRDC_1160815,V6H004
GRDC_1160820,V3H007
GRDC_1160825,V3H009
GRDC_1160830,V3H003
GRDC_1160840,V7H018
GRDC_1160842,V7H012
GRDC_1160850,V3H010
GRDC_1160851,V3H002
GRDC_1160880,V5H002
GRDC_1160881,V1H001
GRDC_1160882,V1H026
GRDC_1160883,V6H002
GRDC_1160884,V1H002
GRDC_1160885,V1H010
GRDC_1160890,V1H031
GRDC_1160891,V1H029
GRDC_1160892,V1H009
GRDC_1160893,V1H034
GRDC_1160894,V1H041
GRDC_1160895,V1H004
GRDC_1160900,W2H009
GRDC_1160910,W2H002
GRDC_1160911,W2H006
GRDC_1160913,W2H028
GRDC_1160915,W2H005
GRDC_1160919,W2H032
GRDC_1160920,W3H014
GRDC_1160930,W3H011
GRDC_1160940,H8H001
GRDC_1160950,H7H003
GRDC_1160955,H7H004
GRDC_1160957,H7H007
GRDC_1160960,H9H005
GRDC_1160965,H9H004
GRDC_1160970,W1H004
GRDC_1160971,W1H010
GRDC_1160974,W1H025
GRDC_1160975,W1H009
GRDC_1160979,W1H032
GRDC_1160981,U8H004
GRDC_1160983,U8H001
GRDC_1160985,U8H003
GRDC_1196100,B7H009
GRDC_1196101,B5H002
GRDC_1196102,B3H001
GRDC_1196103,B1H001
GRDC_1196104,B2H016
GRDC_1196105,B3H025
GRDC_1196106,B3H021
GRDC_1196110,B1H002
GRDC_1196120,B2H001
GRDC_1196130,A2H029
GRDC_1196140,B7H008
GRDC_1196141,B7H003
GRDC_1196142,B7H014
GRDC_1196150,B7H010
GRDC_1196160,B7H004
GRDC_1196170,B4H009
GRDC_1196175,B4H003
GRDC_1196180,B4H005
GRDC_1196190,B6H003
GRDC_1196200,B8H011
GRDC_1196205,B9H002
GRDC_1196210,B9H001
GRDC_1196213,B8H033
GRDC_1196215,B8H008
GRDC_1196220,B8H018
GRDC_1196300,A4H004
GRDC_1196310,A9H002
GRDC_1196320,A9H004
GRDC_1196330,A9H001
GRDC_1196340,A9H012
GRDC_1196350,A2H013
GRDC_1196360,A4H002
GRDC_1196370,A4H008
GRDC_1196380,A4H007
GRDC_1196390,A9H013
GRDC_1196400,A5H003
GRDC_1196405,A5H006
GRDC_1196410,A2H050
GRDC_1196413,A2H012
GRDC_1196415,A2H053
GRDC_1196420,A2H039
GRDC_1196423,A2H038
GRDC_1196425,A2H032
GRDC_1196435,A3H018
GRDC_1196440,A2H059
GRDC_1196441,A2H027
GRDC_1196443,A2H006
GRDC_1196445,A2H061
GRDC_1196447,A2H021
GRDC_1196450,A2H132
GRDC_1196455,A2H128
GRDC_1196500,A7H003
GRDC_1196540,A7H010
GRDC_1196550,A7H004
GRDC_1196551,A7H008
GRDC_1196560,A6H010
GRDC_1196561,A6H012
GRDC_1196562,A6H018
GRDC_1196563,A6H019
GRDC_1196564,A6H020
GRDC_1196565,A6H021
GRDC_1196569,A6H035
GRDC_1196570,A5H004
GRDC_1196600,B1H005
GRDC_1196700,B6H001
GRDC_1196710,B6H005
GRDC_1196720,B7H019
GRDC_1196800,B7H007
GRDC_1196850,B7H015
GRDC_1197001,X1H003
GRDC_1197010,X1H018
GRDC_1197090,X2H036
GRDC_1197100,X1H020
GRDC_1197200,X4H004
GRDC_1197300,X1H001
GRDC_1197310,X1H014
GRDC_1197500,X2H016
GRDC_1197501,X2H006
GRDC_1197502,X2H013
GRDC_1197505,X2H032
GRDC_1197507,X2H046
GRDC_1197510,X2H018
GRDC_1197520,X2H023
GRDC_1197530,X2H005
GRDC_1197540,X2H014
GRDC_1197550,X2H015
GRDC_1197551,X2H011
GRDC_1197555,X2H012
GRDC_1197560,X2H024
GRDC_1197561,X2H025
GRDC_1197562,X2H026
GRDC_1197563,X2H027
GRDC_1197564,X2H028
GRDC_1197580,X2H010
GRDC_1197590,X2H031
GRDC_1197591,X2H030
GRDC_1197593,X2H022
GRDC_1197595,X2H008
GRDC_1197700,X3H006
GRDC_1197701,X3H001
GRDC_1197705,X3H002
GRDC_1197710,X3H004
GRDC_1197720,X3H007
GRDC_1197730,X3H003
GRDC_1197740,X3H008
GRDC_1197745,X3H021
GRDC_1197750,X3H015
GRDC_1199100,W5H011
GRDC_1199110,W5H001
GRDC_1199115,W5H024
GRDC_1199200,W4H004
GRDC_1199310,W4H006
GRDC_1199400,W5H007
GRDC_1199410,W5H008
GRDC_1199415,W5H025
GRDC_1199450,W5H004
GRDC_1199453,W5H005
GRDC_1199455,W5H026
GRDC_1199460,W5H006
GRDC_1199465,W5H022
GRDC_1255100,2811M01
GRDC_1255150,2814M05
GRDC_1257100,2511M01
GRDC_1257101,2512M04
GRDC_1257200,2531M01
GRDC_1258100,2934M01
GRDC_1258150,2954M01
GRDC_1258200,2962M03
GRDC_1258201,2962M06
GRDC_1258202,2961M02
GRDC_1258270,3022M01
GRDC_1258300,2971M02
GRDC_1258301,2971M03
GRDC_1258350,2986M01
GRDC_1258355,2986M03
GRDC_1258400,2984M01
GRDC_1258500,2993M02
GRDC_1258501,2991M01
GRDC_1258502,2991M03
GRDC_1258503,2994M01
GRDC_1258505,2991M11
GRDC_1258506,2991M10
GRDC_1258507,2991M09
GRDC_1258508,2991M07
GRDC_1258509,2991M06
GRDC_1258510,2992M03
GRDC_1258520,2982M06
GRDC_1258530,2991M08
GRDC_1259060,0491M02
GRDC_1259070,0492M02
GRDC_1259080,0493M01
GRDC_1259090,0499M03
GRDC_1259100,0499M02
GRDC_1259101,0496M01
GRDC_1259102,0496M02
GRDC_1259103,0491M01
GRDC_1259104,0491M03
GRDC_1259110,0497M03
GRDC_1259111,0497M02
GRDC_1259112,0497M05
GRDC_1259201,0493M03
GRDC_1259261,0491M06
GRDC_1259350,3124M01
GRDC_1259370,3124M02
GRDC_1259400,0498M02
GRDC_1259440,3112M02
GRDC_1259450,3111M02
GRDC_1259451,3111M01
GRDC_1259460,0482M01
GRDC_1291100,2300M01
GRDC_1291200,2400M01
GRDC_1320100,01MA003
GRDC_1320150,01MA001
GRDC_1320160,01MA004
GRDC_1321880,03LO001
GRDC_1322840,04SP003
GRDC_1322880,04SP001
GRDC_1323550,06SJ001
GRDC_1323580,06SJ002
GRDC_1324580,08CE001
GRDC_3258310,S95J11615
GRDC_3264500,
GRDC_3265005,E28D10611
GRDC_3265010,E28D10603
GRDC_3265050,E29D10624
GRDC_3265070,E29D10626
GRDC_3265100,
GRDC_3265300,
GRDC_3265600,C17Z14405
GRDC_3265601,
GRDC_3265700,C31Y14214
GRDC_3265810,C17W3807
GRDC_3265815,C17W3807
GRDC_3265910,C24W23803
GRDC_3268100,D18D10604
GRDC_3268210,D19D10625
GRDC_3268270,D19A10016
GRDC_3268310,D20D10620
GRDC_3268500,D14D10631
GRDC_3268900,D20P22605
GRDC_3269300,B41W23804
GRDC_3274030,S87B30201
GRDC_3274050,S89F11004
GRDC_3274080,P88B10205
GRDC_3274100,J86C10409
GRDC_3274120,J86C10410
GRDC_3274130,J86C10411
GRDC_3274140,J86C10417
GRDC_3274800,R93Y14213
GRDC_3275010,F52F11001
GRDC_3275100,
GRDC_3275130,F54G11201
GRDC_3275140,F54G11206
GRDC_3275150,F54G11205
GRDC_3275200,F55H11420
GRDC_3275210,F55H11413
GRDC_3275250,F57H11419
GRDC_3275270,F56H21424
GRDC_3275280,F58H11423
GRDC_3275290,F58H11409
GRDC_3275400,F59H11403
GRDC_3275450,
GRDC_3275500,F60L12001
GRDC_3275700,
GRDC_3275750,
GRDC_3275800,
GRDC_3275880,
GRDC_3275910,
GRDC_3275950,G63K31802
GRDC_3275990,
GRDC_3276100,H65M12206
GRDC_3276150,H65M12211
GRDC_3276200,H65M12207
GRDC_3276300,H66M12215
GRDC_3276320,H66M32216
GRDC_3276800,L70R12802
GRDC_3289050,M67M12202
GRDC_3290500,M76M12210
GRDC_3292100,M75K11806
GRDC_3613010,30300000
GRDC_3613050,30400000
GRDC_3613060,30300000
GRDC_3613150,19300000
GRDC_3617100,15245000
GRDC_3617110,15250000
GRDC_3617120,15248010
GRDC_3617130,15245000
GRDC_3617800,15050000
GRDC_3617805,15150000
GRDC_3617810,15150000
GRDC_3617811,15200000
GRDC_3617812,15130000
GRDC_3617813,15120001
GRDC_3617814,15050000
GRDC_3617820,15170000
GRDC_3618051,14420000
GRDC_3618052,14330000
GRDC_3618053,14250000
GRDC_3618090,14110000
GRDC_3618110,14230000
GRDC_3618115,14220000
GRDC_3618120,14310000
GRDC_3618121,14300000
GRDC_3618130,14350000
GRDC_3618150,14440000
GRDC_3618200,14845000
GRDC_3618500,14710000
GRDC_3618600,14850000
GRDC_3618700,14540000
GRDC_3618710,14540000
GRDC_3618711,14550000
GRDC_3618715,14530000
GRDC_3618720,14515000
GRDC_3618721,14495000
GRDC_3618722,14488000
GRDC_3618730,14680001
GRDC_3618731,14650000
GRDC_3618740,14750000
GRDC_3618950,14260000
GRDC_3618951,14280001
GRDC_3620000,11500000
GRDC_3621100,12870000
GRDC_3621200,12850000
GRDC_3621400,12845000
GRDC_3623100,11400000
GRDC_3624200,12200000
GRDC_3624201,12100000
GRDC_3624250,12230000
GRDC_3624400,12880000
GRDC_3624500,13100000
GRDC_3625000,13150000
GRDC_3626000,14100000
GRDC_3627000,15030000
GRDC_3627001,15040000
GRDC_3628050,16060000
GRDC_3628300,16368000
GRDC_3628400,16100000
GRDC_3628401,16080000
GRDC_3628700,15910000
GRDC_3628701,15910000
GRDC_3628900,15930000
GRDC_3629000,17050000
GRDC_3629001,17050001
GRDC_3630100,17090000
GRDC_3630300,18200000
GRDC_3630600,18250000
GRDC_3631100,19150000
GRDC_3631110,19100000
GRDC_3631210,18300000
GRDC_3631215,18280000
GRDC_3631500,19985000
GRDC_3632400,10500000
GRDC_3632401,10200000
GRDC_3632450,10300000
GRDC_3632800,10900000
GRDC_3632801,10800000
GRDC_3633100,12400000
GRDC_3633120,12840000
GRDC_3633121,12700000
GRDC_3633122,12550000
GRDC_3633123,12520000
GRDC_3633160,12500000
GRDC_3633180,12370000
GRDC_3633190,12360000
GRDC_3633300,12680000
GRDC_3633301,12600001
GRDC_3633310,12650000
GRDC_3633320,12530000
GRDC_3634100,13470000
GRDC_3634110,13450000
GRDC_3634140,13550000
GRDC_3634150,13600002
GRDC_3634160,13650000
GRDC_3634200,13740000
GRDC_3634210,13849000
GRDC_3634220,13886000
GRDC_3634320,13880000
GRDC_3634340,13870000
GRDC_3634350,13750000
GRDC_3634360,13710001
GRDC_3634370,13410000
GRDC_3634380,13180000
GRDC_3634400,13300000
GRDC_3634450,13405000
GRDC_3634500,13885000
GRDC_3635010,15860000
GRDC_3635030,15700000
GRDC_3635035,15630000
GRDC_3635040,15400000
GRDC_3635041,15320002
GRDC_3635060,15326000
GRDC_3635100,15670000
GRDC_3635101,15650000
GRDC_3635300,15460012
GRDC_3635301,15430000
GRDC_3635310,15550000
GRDC_3635320,15470000
GRDC_3635330,15590000
GRDC_3635340,15445000
GRDC_3635350,15432000
GRDC_3635360,15431000
GRDC_3635402,15580000
GRDC_3635403,15571100
GRDC_3635408,15560000
GRDC_3635410,15559000
GRDC_3635420,15575000
GRDC_3635430,15565000
GRDC_3635440,15558000
GRDC_3635450,15552700
GRDC_3635451,15552600
GRDC_3635550,15820000
GRDC_3635551,15828000
GRDC_3635600,15750000
GRDC_3635610,15790000
GRDC_3635650,15830000
GRDC_3635651,15800000
GRDC_3635660,15795000
GRDC_3636100,16800000
GRDC_3636150,16700000
GRDC_3636200,16650000
GRDC_3636201,16460000
GRDC_3636202,16430000
GRDC_3636500,16500000
GRDC_3636501,16480000
GRDC_3637150,17500000
GRDC_3637152,17650000
