date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow,eobs
1981-01-01,17.48,26.1,-33.54,94.23,-0.36,-1.99,3.22,1.53,0.39,0.39,0.41,0.41,15.62,0.0,-68.64,94.04,-1.71,-4.04,1.85,0.3,0.39,0.39,0.41,0.41,20.06,140.8,3.87,94.46,1.62,0.18,4.13,2.56,0.4,0.39,0.41,0.41,6.02,0.76,,4.91583976790821
1981-01-02,26.42,11.73,-8.04,94.13,-0.79,-1.87,2.93,2.31,0.39,0.39,0.41,0.41,20.49,0.0,-38.85,93.61,-1.9,-3.09,2.31,1.16,0.39,0.39,0.41,0.41,33.61,73.1,0.12,94.5,1.04,-0.22,4.32,3.38,0.41,0.39,0.41,0.41,16.09,0.67,,26.1018372210087
1981-01-03,32.03,10.45,-2.83,93.05,2.94,1.48,4.8,3.69,0.42,0.41,0.41,0.41,28.18,0.0,-13.63,92.53,1.27,-0.05,4.09,2.11,0.41,0.39,0.41,0.41,34.0,48.69,3.89,93.61,4.18,3.24,5.6,4.32,0.43,0.43,0.42,0.41,23.41,1.56,,32.1542943722661
1981-01-04,31.45,16.82,-19.86,92.42,0.56,-0.34,3.03,0.64,0.42,0.43,0.43,0.41,26.51,-0.0,-55.09,92.14,-2.08,-4.41,0.79,-1.79,0.41,0.42,0.42,0.41,37.29,112.67,3.16,92.67,4.04,3.29,5.56,1.37,0.43,0.43,0.43,0.41,23.99,0.54,,11.8403985542983
1981-01-05,39.59,31.63,-43.74,93.5,-3.22,-5.77,3.52,-0.31,0.4,0.41,0.43,0.42,37.8,0.0,-73.65,92.78,-4.41,-6.8,2.61,-2.31,0.4,0.4,0.43,0.42,41.95,149.64,-4.25,93.94,-1.65,-4.57,4.64,0.64,0.41,0.42,0.43,0.42,5.02,1.12,,10.9490936746046
1981-01-06,48.52,23.8,-28.46,93.21,-2.85,-4.5,2.82,-0.06,0.4,0.4,0.42,0.42,42.15,0.0,-56.5,92.78,-4.73,-6.35,1.23,-3.37,0.39,0.4,0.42,0.42,53.93,115.92,0.6,93.83,-0.43,-2.13,4.64,2.7,0.4,0.4,0.43,0.42,12.56,0.74,,15.7716486128785
1981-01-07,54.9,32.28,-34.76,94.2,-6.58,-8.55,1.28,-1.15,0.39,0.39,0.42,0.42,54.0,0.0,-72.44,93.69,-9.32,-11.37,0.64,-2.14,0.39,0.39,0.42,0.42,55.72,171.14,-10.28,94.69,-5.02,-6.32,1.96,-0.38,0.39,0.4,0.42,0.42,1.92,0.44,,3.36668659596907
1981-01-08,56.21,37.65,-36.56,95.03,-8.77,-11.13,-0.66,-0.25,0.38,0.39,0.42,0.42,55.78,0.0,-73.31,94.74,-13.65,-15.94,-1.69,-1.16,0.38,0.39,0.42,0.42,56.37,188.18,7.02,95.17,-5.8,-9.4,0.48,0.47,0.39,0.39,0.42,0.42,0.72,0.37,,0.0
1981-01-09,56.32,42.1,-34.94,94.57,-9.92,-13.34,-1.08,0.67,0.38,0.39,0.41,0.42,56.24,0.0,-79.63,93.93,-15.41,-18.27,-1.63,0.3,0.38,0.38,0.41,0.42,56.45,196.52,12.86,95.03,-4.91,-7.86,-0.49,1.23,0.38,0.39,0.42,0.42,0.22,0.39,,2.23507875467931
1981-01-10,57.88,16.72,-9.74,93.17,-2.99,-4.48,-0.82,0.62,0.38,0.38,0.41,0.42,56.52,0.0,-33.97,92.9,-5.53,-7.85,-1.13,-1.39,0.38,0.38,0.41,0.42,59.99,84.09,6.6,93.84,-0.21,-1.38,-0.53,1.26,0.38,0.38,0.41,0.42,3.62,0.23,,8.54991663503727
1981-01-11,60.34,19.43,-15.8,93.57,-1.29,-2.96,-1.26,-2.0,0.38,0.38,0.41,0.42,60.04,0.0,-27.67,93.08,-1.85,-3.63,-2.34,-2.86,0.37,0.38,0.41,0.42,60.51,94.17,-6.39,93.84,-0.26,-2.2,-0.64,-1.31,0.38,0.38,0.41,0.42,0.67,0.75,,0.0
1981-01-12,60.47,29.01,-26.63,93.24,-2.44,-4.04,0.6,0.83,0.37,0.38,0.41,0.42,60.43,0.0,-55.5,92.29,-4.53,-5.36,-1.15,-1.25,0.37,0.38,0.4,0.42,60.66,153.31,-8.0,93.8,-0.97,-2.73,2.12,1.92,0.37,0.38,0.41,0.42,0.34,0.44,,2.57389078262877
1981-01-13,63.34,25.24,-23.13,92.78,-3.63,-5.11,1.04,-1.13,0.37,0.38,0.4,0.42,61.03,-0.0,-64.13,92.18,-6.59,-7.9,0.51,-2.86,0.37,0.37,0.4,0.42,64.17,132.95,-3.0,93.43,-0.95,-2.14,2.16,0.88,0.37,0.38,0.4,0.42,3.69,0.51,,0.193583018151787
1981-01-14,64.52,37.17,-26.96,93.03,-5.03,-7.66,1.42,1.81,0.37,0.37,0.4,0.42,64.21,0.0,-62.59,91.97,-9.44,-10.75,0.34,-1.14,0.37,0.37,0.4,0.42,65.29,173.07,-3.24,93.51,-0.2,-3.07,3.72,4.6,0.37,0.37,0.4,0.42,1.32,1.07,,36.5202891892329
1981-01-15,77.27,41.37,-35.32,91.38,-0.97,-3.03,4.04,1.37,0.39,0.38,0.4,0.42,66.22,0.0,-87.65,90.74,-3.79,-5.94,2.87,-1.19,0.37,0.37,0.4,0.42,82.61,204.85,-1.49,91.86,0.99,-0.35,5.81,5.08,0.4,0.38,0.4,0.42,21.11,1.73,,8.13402922425991
1981-01-16,83.94,33.2,-26.77,92.6,-3.8,-6.44,2.62,1.39,0.38,0.38,0.39,0.42,82.71,0.0,-49.3,91.97,-5.29,-7.12,0.64,-0.6,0.38,0.38,0.39,0.42,85.21,152.31,-2.2,92.91,-2.22,-5.77,4.24,3.59,0.38,0.38,0.4,0.42,2.9,1.19,,11.9728413043634
1981-01-17,89.58,28.49,-21.83,92.27,0.84,-0.98,2.91,2.33,0.39,0.38,0.39,0.42,85.81,0.0,-48.2,92.16,-1.83,-5.03,1.19,1.22,0.38,0.38,0.39,0.42,93.17,132.69,3.23,92.48,2.26,0.03,3.93,3.63,0.41,0.39,0.39,0.42,11.81,1.2,,11.7471972170316
1981-01-18,97.38,21.4,-26.14,93.08,-0.93,-2.08,2.16,1.11,0.39,0.39,0.39,0.42,93.33,0.0,-54.91,92.56,-2.26,-3.25,1.28,-0.38,0.39,0.39,0.39,0.42,99.51,108.33,-4.44,93.66,0.55,-0.91,2.79,2.23,0.4,0.39,0.39,0.42,7.47,0.58,,5.04865226988727
1981-01-19,101.91,13.2,-12.14,93.1,0.36,-0.9,2.7,1.77,0.4,0.39,0.39,0.42,99.51,-0.0,-36.96,92.86,-2.18,-3.22,0.56,0.21,0.38,0.39,0.39,0.42,105.8,64.88,1.23,93.59,2.29,1.16,4.53,2.88,0.41,0.4,0.39,0.42,11.96,0.65,,24.0431778391873
1981-01-20,111.28,27.76,-36.04,92.86,-1.76,-2.86,1.02,-0.88,0.4,0.4,0.39,0.42,106.44,0.0,-72.56,92.28,-4.31,-5.43,-0.41,-2.67,0.39,0.4,0.39,0.42,114.44,154.19,-4.38,93.79,-0.19,-1.28,3.14,1.28,0.41,0.4,0.39,0.42,9.47,0.49,,5.24129301703265
1981-01-21,114.55,38.31,-42.54,94.31,-4.7,-6.71,-0.44,-0.43,0.39,0.4,0.39,0.42,114.45,0.0,-79.41,93.92,-7.56,-9.84,-1.43,-1.54,0.39,0.39,0.39,0.41,114.63,167.2,-9.05,94.47,-2.32,-5.47,0.73,0.26,0.39,0.4,0.39,0.42,0.25,0.48,,0.0
1981-01-22,114.51,50.36,-60.57,94.46,-6.67,-9.8,-1.33,-0.14,0.38,0.39,0.39,0.41,114.49,0.0,-104.59,94.26,-10.22,-12.44,-1.69,-0.83,0.38,0.39,0.39,0.41,114.53,224.73,-17.59,94.65,-2.77,-7.19,-0.88,0.13,0.39,0.39,0.39,0.41,0.0,0.43,,0.0
1981-01-23,114.48,56.08,-66.56,94.56,-7.22,-11.41,-1.59,-0.34,0.38,0.39,0.39,0.41,114.46,0.0,-103.36,94.46,-10.94,-14.65,-1.86,-1.1,0.38,0.39,0.39,0.41,114.49,247.8,-43.4,94.67,-1.31,-6.82,-1.18,0.08,0.38,0.39,0.39,0.41,0.0,0.47,,0.0
