date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow
1980-01-02,8.59,23.76,-46.44,98.48,-1.65,-4.46,2.69,-0.72,0.38,0.39,0.4,0.37,7.47,0.0,-84.35,98.06,-2.64,-5.28,1.81,-2.78,0.38,0.39,0.4,0.37,9.46,124.15,-17.59,99.09,0.01,-3.51,3.74,0.88,0.38,0.39,0.4,0.37,2.21,1.17,
1980-01-03,10.05,27.13,-43.6,99.29,-2.46,-5.5,1.27,-0.54,0.38,0.38,0.4,0.37,9.49,0.0,-82.08,99.08,-4.22,-6.95,-0.01,-1.52,0.37,0.38,0.4,0.37,10.25,144.75,-6.42,99.42,-0.99,-4.46,2.0,1.48,0.38,0.39,0.4,0.37,0.92,0.61,
1980-01-04,12.32,8.73,-11.52,98.72,-1.52,-3.6,-0.43,1.85,0.37,0.38,0.4,0.37,10.25,-0.0,-36.43,98.2,-6.11,-8.26,-1.24,1.58,0.37,0.38,0.39,0.37,14.17,49.87,2.47,99.26,3.4,2.13,1.79,2.21,0.39,0.38,0.4,0.37,4.96,0.48,
1980-01-05,9.42,15.04,-8.71,98.13,3.52,2.71,1.86,1.17,0.42,0.4,0.39,0.37,7.35,0.0,-27.66,97.95,2.35,1.69,1.12,0.38,0.4,0.38,0.39,0.37,12.91,78.14,-0.29,98.28,4.63,3.55,2.69,2.39,0.43,0.41,0.4,0.37,3.43,0.16,
1980-01-06,6.21,24.77,-22.67,98.26,2.34,1.62,1.98,1.52,0.42,0.41,0.4,0.37,5.19,0.0,-49.82,98.15,1.45,1.09,0.97,1.24,0.41,0.41,0.4,0.37,7.27,126.44,-8.6,98.35,3.82,2.58,2.81,1.92,0.43,0.42,0.4,0.37,4.43,0.32,
1980-01-07,5.09,18.85,-21.03,98.5,1.34,0.75,1.43,0.81,0.42,0.42,0.4,0.37,4.86,0.0,-32.19,98.24,0.6,0.12,0.04,0.38,0.41,0.42,0.4,0.37,5.29,86.09,-1.98,98.93,2.3,1.22,2.43,1.36,0.43,0.42,0.4,0.37,3.6,0.24,
1980-01-08,4.81,30.36,-35.01,99.12,1.21,-0.05,-1.17,0.02,0.41,0.41,0.4,0.37,4.54,0.0,-77.38,98.97,-1.47,-2.71,-1.83,-0.65,0.4,0.41,0.4,0.37,5.08,148.86,-0.1,99.24,3.79,1.14,-0.07,0.74,0.41,0.42,0.4,0.37,0.64,0.35,
1980-01-09,4.46,32.86,-37.37,99.11,-0.1,-2.84,-1.75,0.09,0.4,0.41,0.4,0.38,4.37,0.0,-65.87,99.04,-2.02,-3.5,-2.31,-0.25,0.39,0.4,0.4,0.37,4.55,162.06,-18.08,99.19,2.21,-1.88,-1.49,0.62,0.4,0.41,0.4,0.38,0.04,0.74,
1980-01-10,4.36,29.21,-39.85,99.41,-0.67,-5.5,-1.87,-1.2,0.39,0.4,0.4,0.38,4.34,0.0,-60.66,99.12,-2.06,-6.48,-2.64,-2.26,0.38,0.4,0.4,0.38,4.38,157.21,-26.82,99.82,0.58,-3.69,-1.27,-0.0,0.39,0.4,0.4,0.38,0.08,1.6,
1980-01-11,4.33,43.97,-65.57,100.14,-2.91,-8.35,-1.52,-2.14,0.38,0.39,0.4,0.38,4.27,0.0,-94.48,99.85,-4.42,-10.58,-1.93,-2.42,0.38,0.39,0.4,0.38,4.36,217.54,-41.19,100.43,-1.31,-6.56,-1.11,-1.98,0.38,0.4,0.4,0.38,0.03,1.81,
