date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow,eobs
1980-01-02,13.61,21.61,-45.13,98.58,-2.02,-4.41,2.57,-0.76,0.38,0.38,0.4,0.38,12.4,0.0,-83.54,98.17,-3.93,-5.65,1.7,-2.79,0.37,0.38,0.4,0.38,14.55,118.31,-16.3,99.19,-0.05,-3.22,3.35,0.88,0.38,0.39,0.4,0.38,2.42,0.75,1.02,4.39332655417203
1980-01-03,15.17,22.91,-38.98,99.41,-3.66,-6.24,1.22,-0.57,0.37,0.38,0.4,0.38,14.61,0.0,-79.15,99.19,-5.67,-7.6,-0.24,-1.46,0.37,0.38,0.4,0.38,15.31,116.8,-0.81,99.54,-1.24,-5.09,1.95,1.57,0.37,0.38,0.4,0.38,0.88,0.38,0.92,1.41314170483569
1980-01-04,17.28,8.27,-9.49,98.86,-2.46,-4.18,-0.6,1.89,0.37,0.38,0.39,0.38,15.26,-0.0,-31.45,98.33,-7.3,-9.05,-1.25,1.52,0.37,0.38,0.39,0.38,19.42,42.45,2.14,99.4,2.76,1.75,1.6,2.19,0.38,0.38,0.4,0.38,4.99,0.29,0.88,5.98850111592966
1980-01-05,13.87,12.41,-5.48,98.25,2.97,2.38,1.75,1.2,0.42,0.4,0.39,0.38,11.03,0.0,-24.71,98.06,2.04,1.62,1.02,0.41,0.39,0.38,0.39,0.38,18.32,63.83,1.95,98.4,3.91,2.98,2.55,2.27,0.43,0.41,0.4,0.38,3.81,-0.01,1.08,1.69691994315055
1980-01-06,9.33,20.89,-17.88,98.38,2.12,1.66,1.75,1.58,0.42,0.42,0.4,0.38,7.87,0.0,-39.64,98.27,1.12,0.96,0.98,1.25,0.42,0.41,0.4,0.38,10.9,106.09,-6.33,98.46,3.65,2.96,2.59,2.03,0.43,0.42,0.4,0.38,5.31,0.13,1.74,7.1790555484547
1980-01-07,8.44,16.54,-17.63,98.62,1.27,0.72,1.38,0.79,0.42,0.42,0.4,0.38,8.01,-0.0,-26.34,98.36,0.48,0.11,-0.07,0.4,0.41,0.42,0.4,0.38,8.94,75.44,-4.69,99.06,2.28,1.16,2.26,1.3,0.43,0.42,0.4,0.38,3.2,0.2,2.31,0.0
1980-01-08,8.02,27.45,-34.82,99.26,1.09,-0.12,-1.21,-0.17,0.41,0.41,0.41,0.38,7.66,-0.0,-80.36,99.1,-0.85,-2.16,-1.92,-0.93,0.4,0.41,0.4,0.38,8.47,134.23,-1.46,99.38,3.73,1.01,-0.14,0.74,0.41,0.42,0.41,0.38,0.64,0.27,1.58,0.0
1980-01-09,7.57,29.33,-34.05,99.26,-0.05,-2.54,-1.91,-0.15,0.4,0.41,0.41,0.38,7.44,0.0,-66.11,99.19,-1.92,-3.37,-2.54,-0.68,0.39,0.4,0.41,0.38,7.68,146.02,-18.29,99.34,2.0,-1.83,-1.6,0.55,0.4,0.41,0.41,0.38,0.07,0.68,1.39,0.0
1980-01-10,7.38,25.79,-35.7,99.56,-1.16,-5.24,-2.03,-1.41,0.39,0.4,0.41,0.38,7.29,0.0,-53.95,99.27,-2.52,-6.37,-2.77,-2.34,0.39,0.4,0.4,0.38,7.43,144.65,-23.62,99.97,0.03,-3.62,-1.49,-0.21,0.39,0.4,0.41,0.38,0.06,1.47,1.28,0.0
1980-01-11,7.23,41.47,-67.35,100.28,-3.76,-8.42,-1.73,-2.17,0.38,0.39,0.4,0.38,7.12,0.0,-89.87,100.0,-5.4,-10.63,-2.09,-2.41,0.38,0.39,0.4,0.38,7.29,199.51,-45.47,100.57,-1.9,-6.52,-1.43,-2.04,0.38,0.4,0.4,0.38,0.01,1.49,1.13,0.0
1980-01-12,7.02,45.36,-74.02,100.61,-5.58,-11.43,-2.68,-2.15,0.38,0.39,0.4,0.38,6.88,0.0,-94.73,100.56,-6.66,-12.26,-3.17,-2.56,0.38,0.39,0.4,0.38,7.12,220.64,-48.02,100.67,-4.0,-10.91,-1.61,-1.74,0.38,0.39,0.4,0.38,0.03,2.04,1.06,0.0
1980-01-13,6.78,47.38,-81.82,100.41,-5.41,-10.9,-2.28,-1.31,0.37,0.38,0.4,0.38,6.71,0.0,-103.92,100.15,-7.51,-12.04,-3.13,-1.97,0.37,0.38,0.4,0.38,6.87,222.53,-70.18,100.62,-1.25,-8.38,-1.44,0.09,0.38,0.39,0.4,0.38,0.0,1.52,1.02,0.0
1980-01-14,6.66,49.46,-73.31,99.41,-5.71,-10.32,-0.96,0.25,0.37,0.38,0.4,0.38,6.6,0.0,-107.43,98.83,-8.2,-12.12,-1.66,-0.8,0.37,0.38,0.4,0.38,6.72,232.89,-52.12,100.07,-2.44,-7.48,0.12,1.14,0.37,0.38,0.4,0.38,0.0,0.57,1.0,0.0
1980-01-15,6.54,46.47,-68.09,98.41,-4.66,-8.05,-1.35,-1.17,0.37,0.38,0.4,0.38,6.45,0.0,-96.58,98.18,-8.03,-10.1,-1.88,-2.5,0.37,0.37,0.4,0.38,6.61,210.35,-52.47,98.78,0.64,-5.53,-1.11,0.15,0.37,0.38,0.4,0.38,0.0,0.71,1.01,0.0
1980-01-16,6.39,29.43,-50.3,98.35,-4.2,-8.87,-2.33,-2.15,0.37,0.37,0.4,0.38,6.3,0.0,-74.0,98.11,-6.65,-10.97,-3.43,-2.82,0.37,0.37,0.4,0.38,6.46,155.1,-21.95,98.67,-1.55,-7.05,-1.5,-1.57,0.37,0.37,0.4,0.38,0.02,1.53,0.95,0.0
1980-01-17,6.23,49.29,-76.88,98.73,-3.39,-8.43,-2.63,-1.2,0.36,0.37,0.4,0.38,6.15,0.0,-101.67,98.66,-5.2,-9.59,-3.15,-1.54,0.36,0.37,0.4,0.38,6.29,230.46,-45.07,98.84,-0.45,-7.2,-2.13,-0.78,0.37,0.37,0.4,0.38,0.0,1.46,0.93,0.0
1980-01-18,6.12,51.58,-75.28,98.52,-3.74,-7.74,-2.12,-0.3,0.36,0.37,0.4,0.38,6.07,0.0,-100.38,98.39,-5.99,-9.24,-2.63,-0.87,0.36,0.37,0.4,0.38,6.16,241.0,-55.61,98.65,0.81,-5.28,-1.53,0.6,0.36,0.37,0.4,0.38,0.0,0.9,0.9,0.0
1980-01-19,6.04,53.06,-70.56,98.38,-3.97,-7.04,-1.77,-0.32,0.36,0.37,0.4,0.38,5.98,0.0,-102.91,98.28,-7.28,-9.15,-2.01,-0.64,0.36,0.37,0.39,0.38,6.08,246.15,-54.43,98.49,1.44,-4.31,-1.33,0.16,0.36,0.37,0.4,0.39,0.0,0.66,0.86,0.0
1980-01-20,5.78,49.3,-58.86,98.51,-2.71,-6.31,-1.22,0.42,0.36,0.36,0.39,0.39,5.53,0.0,-92.39,98.34,-6.32,-8.95,-1.93,-0.09,0.36,0.36,0.39,0.39,6.0,236.43,-36.15,98.69,2.86,-3.89,-0.68,0.79,0.36,0.37,0.39,0.39,0.03,0.65,0.88,0.0
1980-01-21,5.51,53.72,-47.32,98.41,-0.61,-4.27,-1.58,1.48,0.36,0.36,0.39,0.39,5.05,0.0,-103.46,97.84,-5.14,-6.63,-2.44,-0.1,0.36,0.36,0.39,0.39,6.88,252.02,-4.44,98.71,4.4,-2.11,-0.95,3.27,0.37,0.36,0.39,0.39,2.31,1.33,0.73,5.48459967104928
1980-01-22,6.05,37.08,-35.86,97.78,2.99,0.85,0.7,2.98,0.4,0.37,0.39,0.39,5.0,0.0,-61.62,97.68,1.52,-1.53,-0.54,2.53,0.37,0.36,0.39,0.39,7.21,183.74,-4.3,97.87,6.14,2.27,2.04,3.38,0.41,0.38,0.39,0.39,4.78,0.82,0.62,5.23429165910585
